deal_slug,target_name,cik,winning_acquirer,deal_outcome,consideration_type,DateAnnounced,DateEffective,filing_type,URL,row_seq,event_id,event_type,bid_note,cycle_id,actor_id,BidderName,actor_type,bidder_subtype,lifecycle_status,participation_role,actor_notes,event_date,date_precision,round_id,bid_value_pershare,bid_value_lower,bid_value_upper,all_cash,event_consideration_type,cshoc,bid_type,bid_classification_rule,bid_classification_confidence,initiation,formal_boundary_event,source_text_short,raw_note,deal_notes,reviewer_note,needs_review,flag_approximate_date,flag_missing_nda,flag_unresolved_lifecycle,flag_anonymous_mapping,comments_1,comments_2
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,1,imp_e01,bidder_interest,Bidder Interest,imp_c1,imprivata/thoma-bravo,Thoma Bravo,bidder,financial,winner,bidder,,2015-06-15,approximate,,,,,,,,,,,bidder_driven,imp_e26,"In early 2015, and again in June 2015, representatives of Thoma Bravo informally approached and had brief meetings with…",Filing describes early 2015 and June 2015 meetings; using June 2015 as approximate date,,Date is approximate.,true,true,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,2,imp_e02,bidder_interest,Bidder Interest,imp_c1,imprivata/thoma-bravo,Thoma Bravo,bidder,financial,winner,bidder,,2016-01-15,approximate,,,,,,,,,,,bidder_driven,imp_e26,"In January 2016, representatives of Thoma Bravo met with members of Company management during an industry conference an…",Filing says January 2016; using mid-month as approximate date,,Date is approximate.,true,true,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,3,imp_e03,bidder_sale,Bidder Sale,imp_c1,imprivata/thoma-bravo,Thoma Bravo,bidder,financial,winner,initiator,,2016-03-09,exact,,,,,,,,,,,bidder_driven,imp_e26,"On March 9, 2016, Thoma Bravo sent an unsolicited, non-binding indication of interest letter addressed to the Board ind…",,,,true,false,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,4,imp_e04,proposal,,imp_c1,imprivata/thoma-bravo,Thoma Bravo,bidder,financial,winner,bidder,,2016-03-09,exact,,15.0,15.0,15.0,1,cash,,Informal,indication_or_range,high,bidder_driven,imp_e26,"On March 9, 2016, Thoma Bravo sent an unsolicited, non-binding indication of interest letter addressed to the Board ind…",,,,true,false,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,5,imp_e05,ib_retention,IB,imp_c1,imprivata/barclays,Barclays,advisor,,advisor,advisor,Company financial advisor,2016-04-15,exact,,,,,,,,,,,bidder_driven,imp_e26,The Board engaged Barclays as the Company's financial advisor to assist the Board in its evaluation of Thoma Bravo's in…,,,,true,false,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,6,imp_e06,target_sale,Target Sale,imp_c1,imprivata/special-committee,Special Committee,target_board,,advisor,decision_maker,"Independent directors: David Barrett, Paul Maeder, Kate Walsh, Jack Blaeser, Dr. John Halamka, Rodger Weismann",2016-05-05,exact,,,,,,,,,,,bidder_driven,imp_e26,"Based on the benefits and risks discussed at this meeting and the previous Board meeting, the Board determined, based o…",,,,true,false,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,7,imp_e07,nda,NDA,imp_c1,imprivata/thoma-bravo,Thoma Bravo,bidder,financial,winner,bidder,,2016-05-10,exact,,,,,,,,,,,bidder_driven,imp_e26,"Of the parties contacted, three strategic parties and four financial sponsors executed confidentiality agreements with …",,,,true,false,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,8,imp_e11,nda,NDA,imp_c1,imprivata/sponsor_a,Sponsor A,bidder,financial,dropped,bidder,,2016-05-15,approximate,,,,,,,,,,,bidder_driven,imp_e26,"Of the parties contacted, three strategic parties and four financial sponsors executed confidentiality agreements with …",Sponsor A; exact date not stated,,Date is approximate.,true,true,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,9,imp_e12,nda,NDA,imp_c1,imprivata/sponsor_b,Sponsor B,bidder,financial,dropped,bidder,,2016-05-15,approximate,,,,,,,,,,,bidder_driven,imp_e26,"Of the parties contacted, three strategic parties and four financial sponsors executed confidentiality agreements with …",Sponsor B; exact date not stated,,Date is approximate.,true,true,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,10,imp_e08,nda,NDA,imp_c1,imprivata/strategic_1,Strategic 1,bidder,strategic,dropped,bidder,telecommunications enterprise company,2016-05-15,approximate,,,,,,,,,,,bidder_driven,imp_e26,"Of the parties contacted, three strategic parties and four financial sponsors executed confidentiality agreements with …",Strategic 1; exact date not stated; executed during May 6-June 9 period,,Date is approximate.,true,true,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,11,imp_e09,nda,NDA,imp_c1,imprivata/strategic_2,Strategic 2,bidder,strategic,dropped,bidder,large software company,2016-05-15,approximate,,,,,,,,,,,bidder_driven,imp_e26,"Of the parties contacted, three strategic parties and four financial sponsors executed confidentiality agreements with …",Strategic 2; exact date not stated,,Date is approximate.,true,true,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,12,imp_e10,nda,NDA,imp_c1,imprivata/strategic_3,Strategic 3,bidder,strategic,dropped,bidder,large software company,2016-05-15,approximate,,,,,,,,,,,bidder_driven,imp_e26,"Of the parties contacted, three strategic parties and four financial sponsors executed confidentiality agreements with …",Strategic 3; exact date not stated,,Date is approximate.,true,true,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,13,imp_e13,nda,NDA,imp_c1,imprivata/unnamed_1,unnamed financial sponsor (declined post-NDA),bidder,financial,dropped,bidder,One financial sponsor that declined interest shortly after executing confidentiality agreement; not individually identified,2016-05-15,approximate,,,,,,,,,,,bidder_driven,imp_e26,"Of the parties contacted, three strategic parties and four financial sponsors executed confidentiality agreements with …",Unnamed financial sponsor; declined shortly after signing; exact date not stated,,"Date is approximate. Anonymous actor, cannot map to named entity.",true,true,false,false,true,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,14,imp_e25,drop,Drop,imp_c1,imprivata/unnamed_1,unnamed financial sponsor (declined post-NDA),bidder,financial,dropped,bidder,One financial sponsor that declined interest shortly after executing confidentiality agreement; not individually identified,2016-05-15,approximate,,,,,,,,,,,bidder_driven,imp_e26,"Except for one financial sponsor that declined interest shortly after executing its confidentiality agreement, each par…",Unnamed financial sponsor declined interest shortly after signing NDA; exact date not stated,,"Date is approximate. Anonymous actor, cannot map to named entity.",true,true,false,false,true,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,15,imp_e14,final_round_inf_ann,Final Round Inf Ann,imp_c1,imprivata/barclays,Barclays,advisor,,advisor,advisor,Company financial advisor,2016-06-03,exact,imp_r1,,,,,,,,,,bidder_driven,imp_e26,"On June 3, 2016, Barclays distributed a bid instruction letter on behalf of the Company to the six parties that had exe…",,,,true,false,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,16,imp_e14,final_round_inf_ann,Final Round Inf Ann,imp_c1,imprivata/special-committee,Special Committee,target_board,,advisor,decision_maker,"Independent directors: David Barrett, Paul Maeder, Kate Walsh, Jack Blaeser, Dr. John Halamka, Rodger Weismann",2016-06-03,exact,imp_r1,,,,,,,,,,bidder_driven,imp_e26,"On June 3, 2016, Barclays distributed a bid instruction letter on behalf of the Company to the six parties that had exe…",,,,true,false,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,17,imp_e16,drop,Drop,imp_c1,imprivata/strategic_1,Strategic 1,bidder,strategic,dropped,bidder,telecommunications enterprise company,2016-06-08,exact,imp_r1,,,,,,,,,,bidder_driven,imp_e26,"On June 8, 2016, Strategic 1 informed Barclays that after further internal consideration, an acquisition of the Company…",,,,true,false,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,18,imp_e15,final_round_inf,Final Round Inf,imp_c1,,,,,,,,2016-06-09,exact,imp_r1,,,,,,,,,,bidder_driven,imp_e26,"The letter indicated a deadline for submitting indications of interest by June 9, 2016",,,,true,false,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,19,imp_e17,proposal,,imp_c1,imprivata/sponsor_a,Sponsor A,bidder,financial,dropped,bidder,,2016-06-09,exact,,16.5,16.5,16.5,1,cash,,Informal,indication_or_range,high,bidder_driven,imp_e26,"On June 9, 2016, three parties (Sponsor A, Sponsor B and Thoma Bravo) presented written preliminary non-binding indicat…",,,,true,false,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,20,imp_e19,proposal,,imp_c1,imprivata/sponsor_b,Sponsor B,bidder,financial,dropped,bidder,,2016-06-09,exact,,17.5,17.0,18.0,1,cash,,Informal,indication_or_range,high,bidder_driven,imp_e26,Sponsor B indicated a range of $17.00 - $18.00 per share.,,,,true,false,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,21,imp_e18,proposal,,imp_c1,imprivata/thoma-bravo,Thoma Bravo,bidder,financial,winner,bidder,,2016-06-09,exact,,17.25,17.25,17.25,1,cash,,Formal,merger_agreement_draft,high,bidder_driven,imp_e26,"Thoma Bravo indicated a price of $17.25 per share, and also provided a form of equity commitment letter and draft merge…",,,,true,false,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,22,imp_e20,drop,Drop,imp_c1,imprivata/strategic_2,Strategic 2,bidder,strategic,dropped,bidder,large software company,2016-06-12,exact,,,,,,,,,,,bidder_driven,imp_e26,"On June 12, 2016, Strategic 2 informed representatives of Barclays that because of other internal corporate priorities,…",,,,true,false,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,23,imp_e21,drop,Drop,imp_c1,imprivata/strategic_3,Strategic 3,bidder,strategic,dropped,bidder,large software company,2016-06-14,exact,,,,,,,,,,,bidder_driven,imp_e26,"On June 14, 2016, Strategic 3 informed representatives of Barclays that because of its internal focus on other corporat…",,,,true,false,false,false,false,,
imprivata,"Imprivata, Inc.",0001328015,Thoma Bravo,completed,all_cash,2016-07-13,,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/000119312516677939/d226798ddefm14a.htm,24,imp_e22,drop,Drop,imp_c1,imprivata/sponsor_a,Sponsor A,bidder,financial,dropped,bidder,,2016-06-15,exact,,,,,,,,,,,bidder_driven,imp_e26,"On June 15, 2016, Sponsor A informed Barclays that in light of its view of the Company after its diligence, if it were …",Implicit dropout: Sponsor A indicated it would not meaningfully improve bid; no explicit withdrawal statement; no further discussions,,,true,false,false,false,false,,
