deal_slug,target_name,cik,winning_acquirer,deal_outcome,consideration_type,DateAnnounced,DateEffective,filing_type,URL,row_seq,event_id,event_type,bid_note,cycle_id,actor_id,BidderName,actor_type,bidder_subtype,lifecycle_status,participation_role,actor_notes,event_date,date_precision,round_id,bid_value_pershare,bid_value_lower,bid_value_upper,all_cash,event_consideration_type,cshoc,bid_type,bid_classification_rule,bid_classification_confidence,initiation,formal_boundary_event,source_text_short,raw_note,deal_notes,reviewer_note,needs_review,flag_approximate_date,flag_missing_nda,flag_unresolved_lifecycle,flag_anonymous_mapping,comments_1,comments_2
medivation,"Medivation, Inc.",1011835,Pfizer,completed,all_cash,2016-08-22,,SC 14D-9,https://www.sec.gov/Archives/edgar/data/1011835/000119312516696911/d234696dsc14d9.htm,1,med_e01,bidder_interest,Bidder Interest,medivation_c1,medivation/sanofi,Sanofi,bidder,strategic,dropped,bidder,,2016-03-22,exact,,,,,,,,,,,bidder_driven,med_e31,"On March 22, 2016, Olivier Brandicourt, Chief Executive Officer of Sanofi, contacted David Hung, M.D., President and Ch…",,,,true,false,false,false,false,,
medivation,"Medivation, Inc.",1011835,Pfizer,completed,all_cash,2016-08-22,,SC 14D-9,https://www.sec.gov/Archives/edgar/data/1011835/000119312516696911/d234696dsc14d9.htm,2,med_e02,ib_retention,IB,medivation_c1,medivation/jp-morgan,J.P. Morgan Securities LLC,advisor,,advisor,advisor,Target financial advisor,2016-03-24,exact,,,,,,,,,,,bidder_driven,med_e31,"On March 24, 2016, the Medivation board of directors held a special meeting attended by management of Medivation and re…",,,,true,false,false,false,false,,
medivation,"Medivation, Inc.",1011835,Pfizer,completed,all_cash,2016-08-22,,SC 14D-9,https://www.sec.gov/Archives/edgar/data/1011835/000119312516696911/d234696dsc14d9.htm,3,med_e03,bidder_interest,Bidder Interest,medivation_c1,medivation/sanofi,Sanofi,bidder,strategic,dropped,bidder,,2016-03-25,exact,,,,,,,,,,,bidder_driven,med_e31,"On March 25, 2016, Drs. Brandicourt and Hung had an initial telephone discussion during which Dr. Brandicourt expressed…",,,,true,false,false,false,false,,
medivation,"Medivation, Inc.",1011835,Pfizer,completed,all_cash,2016-08-22,,SC 14D-9,https://www.sec.gov/Archives/edgar/data/1011835/000119312516696911/d234696dsc14d9.htm,4,med_e04,bidder_sale,Bidder Sale,medivation_c1,medivation/sanofi,Sanofi,bidder,strategic,dropped,initiator,,2016-04-15,exact,,,,,,,,,,,bidder_driven,med_e31,"On April 15, 2016, Dr. Hung received an unsolicited letter, dated April 13, 2016, from Dr. Brandicourt, setting forth a…",,,,true,false,false,false,false,,
medivation,"Medivation, Inc.",1011835,Pfizer,completed,all_cash,2016-08-22,,SC 14D-9,https://www.sec.gov/Archives/edgar/data/1011835/000119312516696911/d234696dsc14d9.htm,5,med_e05,proposal,,medivation_c1,medivation/sanofi,Sanofi,bidder,strategic,dropped,bidder,,2016-04-15,exact,,52.5,52.5,52.5,1,cash,,Informal,indication_or_range,medium,bidder_driven,med_e31,"On April 15, 2016, Dr. Hung received an unsolicited letter, dated April 13, 2016, from Dr. Brandicourt, setting forth a…",,,,true,false,false,false,false,,
medivation,"Medivation, Inc.",1011835,Pfizer,completed,all_cash,2016-08-22,,SC 14D-9,https://www.sec.gov/Archives/edgar/data/1011835/000119312516696911/d234696dsc14d9.htm,6,med_e06,bidder_interest,Bidder Interest,medivation_c1,medivation/pfizer,Pfizer,bidder,strategic,winner,bidder,,2016-04-20,exact,,,,,,,,,,,bidder_driven,med_e31,"On April 20, 2016, Douglas Giordano, Senior Vice President, Worldwide Business Development at Pfizer contacted Dr. Hung…",,,,true,false,false,false,false,,
medivation,"Medivation, Inc.",1011835,Pfizer,completed,all_cash,2016-08-22,,SC 14D-9,https://www.sec.gov/Archives/edgar/data/1011835/000119312516696911/d234696dsc14d9.htm,7,med_e07,ib_retention,IB,medivation_c1,medivation/evercore,Evercore Group L.L.C.,advisor,,advisor,advisor,Target financial advisor,2016-04-22,exact,,,,,,,,,,,bidder_driven,med_e31,"On April 22, 2016, the Medivation board of directors held a regular meeting at which, among other topics, the Medivatio…",,,,true,false,false,false,false,,
medivation,"Medivation, Inc.",1011835,Pfizer,completed,all_cash,2016-08-22,,SC 14D-9,https://www.sec.gov/Archives/edgar/data/1011835/000119312516696911/d234696dsc14d9.htm,8,med_e08,bid_press_release,Bid Press Release,medivation_c1,medivation/sanofi,Sanofi,bidder,strategic,dropped,bidder,,2016-04-28,exact,,,,,,,,,,,bidder_driven,med_e31,"On April 28, 2016, Sanofi issued a press release publicly announcing Sanofi’s $52.50 proposal.",,,,true,false,false,false,false,,
medivation,"Medivation, Inc.",1011835,Pfizer,completed,all_cash,2016-08-22,,SC 14D-9,https://www.sec.gov/Archives/edgar/data/1011835/000119312516696911/d234696dsc14d9.htm,9,med_e09,bidder_interest,Bidder Interest,medivation_c1,medivation/pfizer,Pfizer,bidder,strategic,winner,bidder,,2016-05-02,exact,,,,,,,,,,,bidder_driven,med_e31,"On May 2, 2016, Mr. Giordano and Dr. Hung spoke by phone and Mr. Giordano expressed Pfizer’s continued interest in part…",,,,true,false,false,false,false,,
medivation,"Medivation, Inc.",1011835,Pfizer,completed,all_cash,2016-08-22,,SC 14D-9,https://www.sec.gov/Archives/edgar/data/1011835/000119312516696911/d234696dsc14d9.htm,10,med_e10,bidder_interest,Bidder Interest,medivation_c1,medivation/pfizer,Pfizer,bidder,strategic,winner,bidder,,2016-05-20,exact,,,,,,,,,,,bidder_driven,med_e31,"On May 20, 2016, Mr. Giordano contacted Dr. Hung by telephone. During that conversation, Mr. Giordano reiterated Pfizer…",,,,true,false,false,false,false,,
medivation,"Medivation, Inc.",1011835,Pfizer,completed,all_cash,2016-08-22,,SC 14D-9,https://www.sec.gov/Archives/edgar/data/1011835/000119312516696911/d234696dsc14d9.htm,11,med_e11,target_sale,Target Sale,medivation_c1,medivation/board,Medivation board of directors,target_board,,advisor,decision_maker,,2016-06-21,approximate,,,,,,,,,,,bidder_driven,med_e31,"receive appropriate value for their shares. In light of the foregoing, the Medivation board was of the view that it sho…","Board meetings establishing the controlled sale process occurred on June 21 and 22, 2016; recorded using the first meeting date.",,Date is approximate.,true,true,false,false,false,,
medivation,"Medivation, Inc.",1011835,Pfizer,completed,all_cash,2016-08-22,,SC 14D-9,https://www.sec.gov/Archives/edgar/data/1011835/000119312516696911/d234696dsc14d9.htm,12,med_e12,proposal,,medivation_c1,medivation/sanofi,Sanofi,bidder,strategic,dropped,bidder,,2016-06-27,exact,,59.5,58.0,61.0,,cash_plus_cvr,,Informal,indication_or_range,medium,bidder_driven,med_e31,"On June 27, 2016, Medivation received a private letter with an increased proposal from Sanofi of $58.00 per share in ca…",,,,true,false,false,false,false,,
medivation,"Medivation, Inc.",1011835,Pfizer,completed,all_cash,2016-08-22,,SC 14D-9,https://www.sec.gov/Archives/edgar/data/1011835/000119312516696911/d234696dsc14d9.htm,13,med_e13,nda,NDA,medivation_c1,medivation/pfizer,Pfizer,bidder,strategic,winner,bidder,,2016-06-29,exact,,,,,,,,,,,bidder_driven,med_e31,"On June 29, 2016, Medivation entered into confidentiality agreements with Pfizer and one additional party initially con…",,,,true,false,false,false,false,,
medivation,"Medivation, Inc.",1011835,Pfizer,completed,all_cash,2016-08-22,,SC 14D-9,https://www.sec.gov/Archives/edgar/data/1011835/000119312516696911/d234696dsc14d9.htm,14,med_e14,nda,NDA,medivation_c1,medivation/sanofi,Sanofi,bidder,strategic,dropped,bidder,,2016-07-05,exact,,,,,,,,,,,bidder_driven,med_e31,"On July 5, 2016, Medivation entered into a confidentiality agreement with Sanofi, pursuant to which Sanofi agreed to te…",,,,true,false,false,false,false,,
medivation,"Medivation, Inc.",1011835,Pfizer,completed,all_cash,2016-08-22,,SC 14D-9,https://www.sec.gov/Archives/edgar/data/1011835/000119312516696911/d234696dsc14d9.htm,15,med_e15,bidder_interest,Bidder Interest,medivation_c1,medivation/pfizer,Pfizer,bidder,strategic,winner,bidder,,2016-07-07,exact,,,,,,,,,,,bidder_driven,med_e31,"Also on July 7, 2016, Dr. Hung met with Ian Read, Chief Executive Officer of Pfizer, Dr. Mace Rothenberg, Chief Develop…",,,,true,false,false,false,false,,
