TargetName,Events,Acquirer,DateAnnounced,URL
IMPRIVATA INC,28,"THOMA BRAVO, LLC",2016-07-13 00:00:00,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm
0.2,Bidder Interest,Thoma Bravo,F,NA,NA,NA,2015-06-01 00:00:00,NA,NA,NA,NA,NA,NA
0.3,Bidder Interest,Thoma Bravo,NA,NA,NA,NA,2016-01-01 00:00:00,NA,NA,NA,NA,NA,NA
0.5,NA,Thoma Bravo,NA,Informal,15,15-15,2016-03-09 00:00:00,2016-03-09 00:00:00,1,NA,NA,NA,NA
0.7,IB,Board/Barclays,NA,NA,NA,NA,2016-04-15 00:00:00,2016-04-15 00:00:00,NA,NA,NA,NA,NA
0.8,Target Sale,NA,NA,NA,NA,NA,2016-05-05 00:00:00,2016-05-05 00:00:00,NA,NA,NA,NA,NA
1,NDA,Strategic 1,S,NA,NA,NA,2016-05-06 00:00:00,NA,NA,NA,NA,NA,NA
2,NDA,Strategic 2,S,NA,NA,NA,2016-05-06 00:00:00,NA,NA,NA,NA,NA,NA
3,NDA,Strategic 3,S,NA,NA,NA,2016-05-06 00:00:00,NA,NA,NA,NA,NA,NA
4,NDA,Sponsor A,F,NA,NA,NA,2016-05-06 00:00:00,NA,NA,NA,NA,NA,NA
5,NDA,Sponsor B,F,NA,NA,NA,2016-05-06 00:00:00,NA,NA,NA,NA,NA,NA
6,NDA,Unnamed financial sponsor,F,NA,NA,NA,2016-05-06 00:00:00,NA,NA,NA,NA,NA,NA
7,NDA,Thoma Bravo,NA,NA,NA,NA,2016-05-10 00:00:00,2016-05-10 00:00:00,NA,NA,NA,NA,NA
8,Drop,Strategic 1,NA,NA,NA,NA,2016-06-08 00:00:00,2016-06-08 00:00:00,NA,NA,NA,NA,NA
9,NA,Sponsor A,NA,Informal,16.5,16.5-16.5,2016-06-09 00:00:00,2016-06-09 00:00:00,1,NA,NA,NA,NA
10,NA,Sponsor B,NA,Informal,NA,17-18,2016-06-09 00:00:00,2016-06-09 00:00:00,1,NA,NA,NA,NA
11,NA,Thoma Bravo,NA,Formal,17.25,17.25-17.25,2016-06-09 00:00:00,2016-06-09 00:00:00,1,NA,NA,NA,NA
12,Drop,Strategic 2,NA,NA,NA,NA,2016-06-12 00:00:00,2016-06-12 00:00:00,NA,NA,NA,NA,NA
13,Drop,Strategic 3,NA,NA,NA,NA,2016-06-14 00:00:00,2016-06-14 00:00:00,NA,NA,NA,NA,NA
14,DropAtInf,Sponsor A,NA,NA,NA,NA,2016-06-15 00:00:00,2016-06-15 00:00:00,NA,NA,NA,NA,NA
15,Final Round Ann,NA,NA,NA,NA,NA,2016-06-24 00:00:00,2016-06-24 00:00:00,NA,NA,NA,NA,NA
16,DropBelowInf,Sponsor B,NA,NA,NA,NA,2016-06-29 00:00:00,2016-06-29 00:00:00,NA,NA,NA,NA,NA
17,NA,Thoma Bravo,NA,Formal,19,19-19,2016-07-08 00:00:00,2016-07-08 00:00:00,1,NA,NA,NA,NA
18,Final Round,NA,NA,NA,NA,NA,2016-07-08 00:00:00,2016-07-08 00:00:00,NA,NA,NA,NA,NA
19,NA,Thoma Bravo,NA,Formal,19.25,19.25-19.25,2016-07-09 00:00:00,2016-07-09 00:00:00,1,NA,NA,NA,NA
20,Bid Press Release,Board/Thoma Bravo,F,NA,NA,NA,2016-07-13 00:00:00,2016-07-13 00:00:00,NA,NA,NA,NA,NA
21,Executed,Board/Thoma Bravo,NA,NA,NA,NA,2016-07-13 00:00:00,2016-07-13 00:00:00,NA,NA,NA,NA,NA
22,Bidder Interest,Thoma Bravo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Drop,Unnamed financial sponsor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
