TargetName,Events,Acquirer,DateAnnounced,URL
MEDIVATION INC,39,PFIZER INC,2016-08-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696911-index.htm
0.1,Bidder Interest,Sanofi,non-US S,NA,NA,NA,2016-03-22 00:00:00,2016-03-22 00:00:00,NA,NA,NA,NA,NA
0.2,IB,Medivation board of directors/J. P. Morgan Securities LLC,NA,NA,NA,NA,2016-03-24 00:00:00,2016-03-24 00:00:00,NA,NA,NA,NA,NA
0.2,NA,Sanofi,NA,Informal,52.5,52.5-52.5,2016-04-13 00:00:00,2016-04-13 00:00:00,1,NA,NA,NA,NA
0.3,Bidder Interest,Pfizer,S,NA,NA,NA,2016-04-20 00:00:00,2016-04-20 00:00:00,NA,NA,NA,NA,NA
0.4,IB,Medivation board of directors/Evercore Group L. L. C.,NA,NA,NA,NA,2016-04-22 00:00:00,2016-04-22 00:00:00,NA,NA,NA,NA,NA
0.5,Bid Press Release,Sanofi,NA,NA,NA,NA,2016-04-28 00:00:00,2016-04-28 00:00:00,NA,NA,NA,NA,NA
0.5,IB,"Medivation board of directors/Wachtell, Lipton, Rosen & Katz",NA,NA,NA,NA,2016-04-28 00:00:00,2016-04-28 00:00:00,NA,NA,NA,NA,NA
0.6,Bidder Interest,Pfizer,NA,NA,NA,NA,2016-05-02 00:00:00,2016-05-02 00:00:00,NA,NA,NA,NA,NA
0.7,Bid Press Release,Sanofi,NA,NA,NA,NA,2016-05-05 00:00:00,2016-05-05 00:00:00,NA,NA,NA,NA,NA
0.8,Bidder Interest,Sanofi/Weil Gotshal & Manges LLP,non-US S,NA,NA,NA,2016-05-09 00:00:00,2016-05-09 00:00:00,NA,NA,NA,NA,NA
0.8,Bidder Interest,Pfizer,NA,NA,NA,NA,2016-05-20 00:00:00,2016-05-20 00:00:00,NA,NA,NA,NA,NA
0.9,NA,Sanofi,NA,NA,58,58-58,2016-06-27 00:00:00,2016-06-27 00:00:00,NA,NA,NA,NA,NA
1,NDA,Pfizer,NA,NA,NA,NA,2016-06-29 00:00:00,2016-06-29 00:00:00,NA,NA,NA,NA,NA
2,NDA,Sanofi,NA,NA,NA,NA,2016-07-05 00:00:00,2016-07-05 00:00:00,NA,NA,NA,NA,NA
3,Bidder Interest,Pfizer,NA,NA,NA,NA,2016-07-07 00:00:00,2016-07-07 00:00:00,NA,NA,NA,NA,NA
4,NDA,NA,NA,NA,NA,NA,2016-07-09 00:00:00,2016-07-09 00:00:00,NA,NA,NA,NA,NA
5,NDA,NA,NA,NA,NA,NA,2016-07-13 00:00:00,2016-07-13 00:00:00,NA,NA,NA,NA,NA
6,NA,Pfizer,NA,Informal,65,65-65,2016-08-08 00:00:00,2016-08-08 00:00:00,1,NA,NA,NA,NA
7,NA,Company 1,S,Informal,71,71-71,2016-08-08 00:00:00,2016-08-08 00:00:00,1,NA,NA,NA,NA
8,NA,Company 2,S,Informal,NA,62-64,2016-08-08 00:00:00,2016-08-08 00:00:00,1,NA,NA,NA,NA
9,NA,Company 3,S,Informal,60,60-60,2016-08-08 00:00:00,2016-08-08 00:00:00,NA,NA,NA,NA,NA
10,NA,Company 4,S,Informal,63,63-63,2016-08-08 00:00:00,2016-08-08 00:00:00,NA,NA,NA,NA,NA
11,NA,Company 2,NA,NA,70,70-70,2016-08-11 00:00:00,2016-08-11 00:00:00,1,NA,NA,NA,NA
12,NA,Company 2,NA,NA,70,70-70,2016-08-12 00:00:00,2016-08-12 00:00:00,1,NA,NA,NA,NA
13,NA,Company 3,NA,NA,70.5,70.5-70.5,2016-08-12 00:00:00,2016-08-12 00:00:00,1,NA,NA,NA,NA
14,Final Round Ann,NA,NA,NA,NA,NA,2016-08-14 00:00:00,2016-08-14 00:00:00,NA,NA,NA,NA,NA
15,NA,Company 3,NA,Formal,72.5,72.5-72.5,2016-08-19 00:00:00,2016-08-19 00:00:00,1,NA,NA,NA,NA
16,NA,Company 1,NA,Formal,73,73-73,2016-08-19 00:00:00,2016-08-19 00:00:00,1,NA,NA,NA,NA
17,NA,Company 2,NA,Formal,75.5,75.5-75.5,2016-08-19 00:00:00,2016-08-19 00:00:00,1,NA,NA,NA,NA
18,NA,Pfizer,NA,Formal,77,77-77,2016-08-19 00:00:00,2016-08-19 00:00:00,1,NA,NA,NA,NA
19,Final Round,NA,NA,NA,NA,NA,2016-08-19 00:00:00,2016-08-19 00:00:00,NA,NA,NA,NA,NA
20,Final Round Ext Ann,NA,NA,NA,NA,NA,2016-08-19 00:00:00,2016-08-19 00:00:00,NA,NA,NA,NA,NA
21,NA,Pfizer,NA,Formal,81.5,81.5-81.5,2016-08-20 00:00:00,2016-08-20 00:00:00,1,NA,NA,NA,NA
22,NA,Company 1,NA,Formal,80.25,80.25-80.25,2016-08-20 00:00:00,2016-08-20 00:00:00,1,NA,NA,NA,NA
23,NA,Company 2,NA,Formal,80,80-80,2016-08-20 00:00:00,2016-08-20 00:00:00,1,NA,NA,NA,NA
24,Final Round Ext,NA,NA,NA,NA,NA,2016-08-20 00:00:00,2016-08-20 00:00:00,NA,NA,NA,NA,NA
25,Executed,Medivation board of directors/Pfizer,S,NA,NA,NA,2016-08-20 00:00:00,2016-08-20 00:00:00,NA,NA,NA,NA,NA
26,Bid Press Release,Medivation board of directors/Pfizer,NA,NA,NA,NA,2016-08-22 00:00:00,2016-08-22 00:00:00,NA,NA,NA,NA,NA
27,Target Sale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
