TargetName,Events,Acquirer,DateAnnounced,URL
PETSMART INC,20,"BC Partners, Inc., La Caisse de d̩p̫t et placement du Qu̩bec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",2014-12-14 00:00:00,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm
0.2,IB,PetSmart Board of Directors/J.P. Morgan,NA,NA,NA,NA,2014-07-01 00:00:00,NA,NA,NA,NA,NA,NA
0.4,Bidder Interest,Industry Participant,S,NA,NA,NA,2014-08-07 00:00:00,2014-08-07 00:00:00,NA,NA,NA,NA,NA
0.6,Target Sale,NA,NA,NA,NA,NA,2014-08-13 00:00:00,2014-08-13 00:00:00,NA,NA,NA,NA,NA
0.8,Sale Press Release,NA,NA,NA,NA,NA,2014-08-19 00:00:00,2014-08-19 00:00:00,NA,NA,NA,NA,NA
1,NDA,15 Potentially Interested Financial Buyers,F,NA,NA,NA,2014-10-01 00:00:00,NA,NA,NA,NA,NA,NA
2,NA,Buyer Group,F,Informal,NA,81-83,2014-10-30 00:00:00,2014-10-30 00:00:00,1,NA,NA,NA,NA
3,NA,Bidder 2,F,Informal,78,78-78,2014-10-30 00:00:00,2014-10-30 00:00:00,1,NA,NA,NA,NA
4,NA,Bidder 2,NA,Informal,NA,81-84,2014-10-30 00:00:00,NA,1,NA,NA,NA,NA
5,Final Round Ann,NA,NA,NA,NA,NA,2014-11-03 00:00:00,2014-11-03 00:00:00,NA,NA,NA,NA,NA
6,NA,Buyer Group,NA,Formal,80.7,80.7-80.7,2014-12-10 00:00:00,2014-12-10 00:00:00,1,NA,NA,NA,NA
7,NA,Bidder 2,NA,Formal,80.35,80.35-80.35,2014-12-10 00:00:00,2014-12-10 00:00:00,1,NA,NA,NA,NA
8,NA,Bidder 3,F,Formal,78,78-78,2014-12-10 00:00:00,2014-12-10 00:00:00,1,NA,NA,NA,NA
9,Final Round,NA,NA,NA,NA,NA,2014-12-10 00:00:00,2014-12-10 00:00:00,NA,NA,NA,NA,NA
10,Final Round Ext Ann,NA,NA,NA,NA,NA,2014-12-10 00:00:00,2014-12-10 00:00:00,NA,NA,NA,NA,NA
11,NA,Bidder 2,NA,Formal,81.5,81.5-81.5,2014-12-12 00:00:00,2014-12-12 00:00:00,1,NA,NA,NA,NA
12,NA,Buyer Group,NA,Formal,82.5,82.5-82.5,2014-12-12 00:00:00,2014-12-12 00:00:00,1,NA,NA,NA,NA
13,NA,Buyer Group,NA,Formal,83,83-83,2014-12-12 00:00:00,2014-12-12 00:00:00,1,NA,NA,NA,NA
14,Final Round Ext,NA,NA,NA,NA,NA,2014-12-12 00:00:00,2014-12-12 00:00:00,NA,NA,NA,NA,NA
15,Bid Press Release,Buyer Group/PetSmart Board of Directors,F,NA,NA,NA,2014-12-14 00:00:00,2014-12-14 00:00:00,NA,NA,NA,NA,NA
16,Executed,Buyer Group/PetSmart Board of Directors,NA,NA,NA,NA,2014-12-14 00:00:00,2014-12-14 00:00:00,NA,NA,NA,NA,NA
