TargetName,Events,Acquirer,DateAnnounced,URL
PROVIDENCE & WORCESTER RR CO,23,GENESEE & WYOMING INC,2016-08-15 00:00:00,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm
0.3,IB,Board of Directors/BMO Capital Markets Corp. / Greene Holcomb & Fisher LLC,NA,NA,NA,NA,2016-01-27 00:00:00,2016-01-27 00:00:00,NA,NA,NA,NA,NA
0.7,Target Sale,NA,NA,NA,NA,NA,2016-03-14 00:00:00,2016-03-14 00:00:00,NA,NA,NA,NA,NA
1,NDA,Party A,S,NA,NA,NA,2016-04-22 00:00:00,2016-04-22 00:00:00,NA,NA,NA,NA,NA
2,NDA,G& W,S,NA,NA,NA,2016-04-22 00:00:00,2016-04-22 00:00:00,NA,NA,NA,NA,NA
3,NDA,Party B,S,NA,NA,NA,2016-04-22 00:00:00,2016-04-22 00:00:00,NA,NA,NA,NA,NA
4,Final Round Ann,NA,NA,NA,NA,NA,2016-06-15 00:00:00,NA,NA,NA,NA,NA,NA
5,Bidder Interest,Party C,S,NA,NA,NA,2016-07-05 00:00:00,NA,NA,NA,NA,NA,NA
6,NDA,Party C,NA,NA,NA,NA,2016-07-05 00:00:00,NA,NA,NA,NA,NA,NA
7,NA,Party C,NA,Formal,21,21-21,2016-07-12 00:00:00,2016-07-12 00:00:00,NA,NA,NA,NA,NA
8,Final Round,NA,NA,NA,NA,NA,2016-07-20 00:00:00,2016-07-20 00:00:00,NA,NA,NA,NA,NA
9,NA,G& W,NA,Formal,21.15,21.15-21.15,2016-07-21 00:00:00,2016-07-21 00:00:00,NA,NA,NA,NA,NA
10,NA,Party B,NA,Formal,24,24-24,2016-07-25 00:00:00,NA,NA,NA,NA,NA,NA
11,NA,Party E,S,Formal,21.26,21.26-21.26,2016-07-25 00:00:00,NA,NA,NA,NA,NA,NA
12,NA,Party D,F,Formal,21,21-21,2016-07-25 00:00:00,NA,NA,NA,NA,NA,NA
13,NA,Party C,NA,Formal,19.3,19.3-19.3,2016-07-25 00:00:00,NA,NA,NA,NA,NA,NA
14,NA,Party F,S,Formal,19.2,19.2-19.2,2016-07-25 00:00:00,NA,NA,NA,NA,NA,NA
15,NA,Party D,NA,Formal,24,24-24,2016-08-01 00:00:00,2016-08-01 00:00:00,NA,NA,NA,NA,NA
16,NA,Party E/Party F,S/S,Formal,23.81,23.81-23.81,2016-08-01 00:00:00,2016-08-01 00:00:00,NA,NA,NA,NA,NA
17,Drop,Party D,NA,NA,NA,NA,2016-08-02 00:00:00,2016-08-02 00:00:00,NA,NA,NA,NA,NA
18,NA,G& W,NA,Formal,25,25-25,2016-08-12 00:00:00,2016-08-12 00:00:00,1,NA,NA,NA,NA
19,Bid Press Release,Board of Directors,NA,NA,NA,NA,2016-08-15 00:00:00,2016-08-15 00:00:00,NA,NA,NA,NA,NA
20,Bidder Interest,Party A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Executed,Board of Directors/G& W,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
