TargetName,Events,Acquirer,DateAnnounced,URL
ZEP INC,18,NEW MOUNTAIN CAPITAL,2015-04-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm
0.2,Target Sale,NA,NA,NA,NA,NA,2013-07-01 00:00:00,2013-07-01 00:00:00,NA,NA,NA,NA,NA
0.5,Target Sale,NA,NA,NA,NA,NA,2014-01-28 00:00:00,2014-01-28 00:00:00,NA,NA,NA,NA,NA
0.8,IB,Zep Inc. board of directors/BofA Merrill Lynch,NA,NA,NA,NA,2014-01-28 00:00:00,2014-01-28 00:00:00,NA,NA,NA,NA,NA
1,NDA,New Mountain Capital,F,NA,NA,NA,2014-03-19 00:00:00,2014-03-19 00:00:00,NA,NA,NA,NA,NA
2,NA,Four unnamed financial buyers/One unnamed strategic buyer,F/S,Informal,NA,20-22,2014-04-14 00:00:00,2014-04-14 00:00:00,NA,NA,NA,NA,NA
3,NA,Party X,F,Informal,NA,21.5-23,2014-05-09 00:00:00,2014-05-09 00:00:00,NA,NA,NA,NA,NA
4,Drop,Party X,NA,NA,NA,NA,2014-05-14 00:00:00,2014-05-14 00:00:00,NA,NA,NA,NA,NA
5,NA,Party Y,S,Informal,NA,19.5-20.5,2014-05-20 00:00:00,2014-05-20 00:00:00,NA,NA,NA,NA,NA
6,Terminated,NA,NA,NA,NA,NA,2014-06-26 00:00:00,2014-06-26 00:00:00,NA,NA,NA,NA,NA
7,Bidder Interest,New Mountain Capital,NA,NA,NA,NA,2015-02-10 00:00:00,2015-02-10 00:00:00,NA,NA,NA,NA,NA
8,NA,New Mountain Capital,NA,Informal,19.25,19.25-19.25,2015-02-19 00:00:00,2015-02-19 00:00:00,NA,NA,NA,NA,NA
9,NA,New Mountain Capital,NA,Informal,20.05,20.05-20.05,2015-02-26 00:00:00,2015-02-26 00:00:00,NA,NA,NA,NA,NA
10,Restarted,Zep Inc. board of directors/New Mountain Capital,F,NA,NA,NA,2015-02-26 00:00:00,2015-02-26 00:00:00,NA,NA,NA,NA,NA
11,NA,New Mountain Capital,NA,NA,20.05,20.05-20.05,2015-03-13 00:00:00,2015-03-13 00:00:00,NA,NA,NA,NA,NA
12,Bid Press Release,Zep Inc. board of directors/New Mountain Capital,NA,NA,NA,NA,2015-04-08 00:00:00,2015-04-08 00:00:00,NA,NA,NA,NA,NA
13,Bidder Interest,Party X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Bidder Interest,Party Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Executed,Zep Inc. board of directors/New Mountain Capital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
