observation_id,obs_type,date_raw_text,date_sort,date_precision,subject_refs,subject_names,counterparty_refs,counterparty_names,summary,evidence_span_ids,type_fields
obs_evt_001,process,2014-06,2014-06-01 00:00:00,month,target_board_imprivata,Imprivata Inc,NA,NA,Imprivata completed its initial public offering at $15.00 per share,span_0001,"{""other_detail"": ""IPO completed"", ""process_kind"": ""other"", ""process_scope"": null}"
obs_evt_002,status,2015,2015-01-01 00:00:00,year,bidder_thoma_bravo,Thoma Bravo,target_board_imprivata,Imprivata Inc,"In early 2015 and again in June 2015, Thoma Bravo informally approached the Company and expressed interest in a possible business transaction; no specific proposals were made",span_0002,"{""other_detail"": ""interested"", ""related_observation_id"": null, ""status_kind"": ""other""}"
obs_evt_003,status,2016-01,2016-01-01 00:00:00,month,bidder_thoma_bravo,Thoma Bravo,target_board_imprivata,Imprivata Inc,"In January 2016, Thoma Bravo met with Company management at an industry conference and reiterated interest in a potential transaction; no specific proposal was made",span_0004,"{""other_detail"": ""interested"", ""related_observation_id"": null, ""status_kind"": ""other""}"
obs_evt_004,proposal,2016-03-09,2016-03-09 00:00:00,exact_day,bidder_thoma_bravo,Thoma Bravo,target_board_imprivata,Imprivata Inc,"Thoma Bravo sent an unsolicited, non-binding indication of interest letter to the Board at $15.00 per share in cash, with equity financing and ability to complete confirmatory diligence in 30 days or less",span_0005,"{""delivery_mode"": null, ""includes_draft_merger_agreement"": false, ""includes_markup"": false, ""mentions_non_binding"": true, ""other_detail"": null, ""requested_by_observation_id"": null, ""revises_observation_id"": null, ""terms"": {""consideration_type"": ""cash"", ""enterprise_value"": null, ""per_share"": ""15.0"", ""range_high"": null, ""range_low"": null}}"
obs_evt_005,process,2016-03-10,2016-03-10 00:00:00,exact_day,target_board_imprivata,Imprivata Inc,NA,NA,Board held a meeting to consider Thoma Bravo's indication of interest; deferred consideration pending further review of Company strategies and intrinsic value; authorized advisory committee to recommend a financial advisor,span_0006|span_0007|span_0056,"{""other_detail"": ""Board deferred consideration of Thoma Bravo IOI; authorized advisory committee to seek financial advisor"", ""process_kind"": ""other"", ""process_scope"": null}"
obs_evt_006,process,2016-04-15,2016-04-15 00:00:00,exact_day,target_board_imprivata|advisor_barclays,Imprivata Inc|Barclays,NA,NA,Board engaged Barclays as financial advisor to assist in evaluation of Thoma Bravo's indication of interest and any other strategic alternatives,span_0008|span_0009,"{""other_detail"": ""Financial advisor engaged"", ""process_kind"": ""other"", ""process_scope"": null}"
obs_evt_008,process,2016-04-15,2016-04-15 00:00:00,exact_day,target_board_imprivata,Imprivata Inc,bidder_thoma_bravo,Thoma Bravo,Board concluded Thoma Bravo's indication of interest undervalued the Company; requested Barclays assemble list of other potentially interested parties,span_0054,"{""other_detail"": ""Board concluded IOI undervalued the Company; directed Barclays to assemble buyer list"", ""process_kind"": ""other"", ""process_scope"": null}"
obs_evt_007,agreement,2016-04-19,2016-04-19 00:00:00,exact_day,target_board_imprivata|advisor_barclays,Imprivata Inc|Barclays,NA,NA,"Company countersigned engagement letter with Barclays, dated April 15, 2016",span_0010,"{""agreement_kind"": ""other"", ""consideration_type"": null, ""grants_diligence_access"": null, ""includes_standstill"": null, ""other_detail"": ""financial advisor engagement letter"", ""signed"": null, ""supersedes_observation_id"": null}"
obs_evt_009,process,2016-04-28,2016-04-28 00:00:00,exact_day,target_board_imprivata,Imprivata Inc,NA,NA,Board reviewed Barclays' indicative list of 15 potentially interested parties (11 strategic companies and four financial sponsors including Thoma Bravo); discussed risks and benefits of commencing a process,span_0011|span_0012,"{""other_detail"": ""Board reviewed indicative buyer list of 15 parties"", ""process_kind"": ""other"", ""process_scope"": null}"
obs_evt_010,process,2016-05-05,2016-05-05 00:00:00,exact_day,target_board_imprivata,Imprivata Inc,NA,NA,Board approved the indicative list of 15 parties and determined Barclays should contact each on a confidential basis to gauge interest; formal launch of the strategic process,span_0013|span_0014,"{""other_detail"": null, ""process_kind"": ""sale_launch"", ""process_scope"": null}"
obs_evt_011,solicitation,2016-05-06,2016-05-06 00:00:00,exact_day,target_board_imprivata|advisor_barclays,Imprivata Inc|Barclays,NA,NA,"Barclays began contacting the 15 potentially interested parties to gauge interest in a potential transaction; period from May 6 through June 9, 2016",span_0015,"{""attachments"": [], ""binding_level"": null, ""due_date"": null, ""other_detail"": null, ""recipient_refs"": [""cohort_contacted_15""], ""requested_submission"": ""other""}"
obs_evt_012,agreement,2016-05-10,2016-05-10 00:00:00,exact_day,bidder_thoma_bravo,Thoma Bravo,target_board_imprivata,Imprivata Inc,Thoma Bravo executed a confidentiality agreement with the Company; three strategic parties and four financial sponsors total executed NDAs during May 6 through June 9 period,span_0015|span_0017,"{""agreement_kind"": ""nda"", ""consideration_type"": null, ""grants_diligence_access"": null, ""includes_standstill"": null, ""other_detail"": null, ""signed"": null, ""supersedes_observation_id"": null}"
obs_evt_013,solicitation,2016-05-26,2016-05-26 00:00:00,exact_day,target_board_imprivata,Imprivata Inc,NA,NA,"Board approved requesting initial non-binding indications of interest from bidders by June 9, 2016",span_0018,"{""attachments"": [], ""binding_level"": null, ""due_date"": {""anchor_event_id"": null, ""anchor_span_id"": null, ""is_inferred"": false, ""normalized_end"": ""2016-06-09"", ""normalized_start"": ""2016-06-09"", ""precision"": ""exact_day"", ""raw_text"": ""2016-06-09"", ""resolution_note"": null, ""sort_date"": ""2016-06-09""}, ""other_detail"": null, ""recipient_refs"": [], ""requested_submission"": ""other""}"
obs_evt_014,solicitation,2016-06-03,2016-06-03 00:00:00,exact_day,target_board_imprivata|advisor_barclays,Imprivata Inc|Barclays,NA,NA,"Barclays distributed a bid instruction letter to the six parties that had executed a confidentiality agreement and attended meetings with management; deadline for indications of interest was June 9, 2016",span_0019,"{""attachments"": [], ""binding_level"": null, ""due_date"": {""anchor_event_id"": null, ""anchor_span_id"": null, ""is_inferred"": false, ""normalized_end"": ""2016-06-09"", ""normalized_start"": ""2016-06-09"", ""precision"": ""exact_day"", ""raw_text"": ""2016-06-09"", ""resolution_note"": null, ""sort_date"": ""2016-06-09""}, ""other_detail"": null, ""recipient_refs"": [""cohort_nda_six""], ""requested_submission"": ""other""}"
obs_evt_015,status,2016-06-03,2016-06-03 00:00:00,exact_day,NA,NA,target_board_imprivata,Imprivata Inc,One strategic party that did not execute a confidentiality agreement informed Barclays it was not interested in participating in the strategic process,span_0020,"{""other_detail"": null, ""related_observation_id"": null, ""status_kind"": ""not_interested""}"
obs_evt_016,status,2016-06-08,2016-06-08 00:00:00,exact_day,bidder_strategic_1,Strategic 1,target_board_imprivata,Imprivata Inc,Strategic 1 informed Barclays it was no longer interested in participating in the strategic process and would not be submitting an indication of interest,span_0021,"{""other_detail"": null, ""related_observation_id"": null, ""status_kind"": ""not_interested""}"
obs_cov_001,agreement,"before June 9, 2016",2016-06-09 00:00:00,exact_day,bidder_strategic_3,Strategic 3,target_board_imprivata,Imprivata Inc,"Strategic 3 executed a confidentiality agreement and met with management but did not submit a bid by the June 9, 2016 deadline",span_0057,"{""agreement_kind"": ""nda"", ""consideration_type"": null, ""grants_diligence_access"": null, ""includes_standstill"": null, ""other_detail"": null, ""signed"": null, ""supersedes_observation_id"": null}"
obs_evt_017,proposal,2016-06-09,2016-06-09 00:00:00,exact_day,bidder_sponsor_a,Sponsor A,target_board_imprivata,Imprivata Inc,"Sponsor A presented a written preliminary non-binding indication of interest at $16.50 per share, with equity commitment for the entire purchase price and not contingent on financing",span_0022,"{""delivery_mode"": null, ""includes_draft_merger_agreement"": false, ""includes_markup"": false, ""mentions_non_binding"": true, ""other_detail"": null, ""requested_by_observation_id"": ""obs_evt_014"", ""revises_observation_id"": null, ""terms"": {""consideration_type"": ""cash"", ""enterprise_value"": null, ""per_share"": ""16.5"", ""range_high"": null, ""range_low"": null}}"
