TargetName,Events,Acquirer,DateAnnounced,URL
MAC GRAY CORP,27,"CSC SERVICEWORKS, INC.",2013-10-15 00:00:00,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm
0.1,Target Sale,NA,NA,NA,NA,NA,2013-04-05 00:00:00,2013-04-05 00:00:00,NA,NA,NA,NA,NA
0.3,Bidder Interest,Party A,S,NA,NA,NA,2013-04-08 00:00:00,2013-04-08 00:00:00,NA,NA,NA,NA,NA
0.4,IB,Mac-Gray Board of Directors/BofA Merrill Lynch,NA,NA,NA,NA,2013-05-31 00:00:00,2013-05-31 00:00:00,NA,NA,NA,NA,NA
0.6,NA,Party A,NA,Informal,NA,17-19,2013-06-21 00:00:00,2013-06-21 00:00:00,1,NA,NA,NA,NA
0.7,Target Sale,NA,NA,NA,NA,NA,2013-06-24 00:00:00,2013-06-24 00:00:00,NA,NA,NA,NA,NA
0.9,Bidder Interest,CSC/Pamplona,S,NA,NA,NA,2013-06-28 00:00:00,2013-06-28 00:00:00,NA,NA,NA,NA,NA
1,NDA,Party B,F,NA,NA,NA,2013-06-28 00:00:00,2013-06-28 00:00:00,NA,NA,NA,NA,NA
2,NDA,Party C,F,NA,NA,NA,2013-06-30 00:00:00,2013-06-30 00:00:00,NA,NA,NA,NA,NA
3,NDA,CSC/Pamplona,NA,NA,NA,NA,2013-07-11 00:00:00,2013-07-11 00:00:00,NA,NA,NA,NA,NA
4,NA,CSC/Pamplona,NA,Informal,18.5,18.5-18.5,2013-07-23 00:00:00,2013-07-23 00:00:00,1,NA,NA,NA,NA
5,NA,Party B,NA,Informal,NA,17-18,2013-07-24 00:00:00,2013-07-24 00:00:00,1,NA,NA,NA,NA
6,NA,Party C,NA,Informal,NA,15-17,2013-07-24 00:00:00,2013-07-24 00:00:00,1,NA,NA,NA,NA
7,NA,Party C,NA,Informal,NA,16-16.5,2013-07-25 00:00:00,2013-07-25 00:00:00,1,NA,NA,NA,NA
8,NDA,Party A,NA,NA,NA,NA,2013-08-05 00:00:00,2013-08-05 00:00:00,NA,NA,NA,NA,NA
9,NA,CSC/Pamplona,NA,Informal,19.5,19.5-19.5,2013-09-09 00:00:00,2013-09-09 00:00:00,1,NA,NA,NA,NA
10,NA,Party B,NA,Informal,18.5,18.5-18.5,2013-09-09 00:00:00,2013-09-09 00:00:00,1,NA,NA,NA,NA
11,NA,Party A,NA,Informal,NA,18-19,2013-09-10 00:00:00,2013-09-10 00:00:00,1,NA,NA,NA,NA
12,NA,Party C,NA,Informal,NA,16-17,2013-09-10 00:00:00,2013-09-10 00:00:00,1,NA,NA,NA,NA
13,Final Round Inf Ann,NA,NA,NA,NA,NA,2013-09-11 00:00:00,2013-09-11 00:00:00,NA,NA,NA,NA,NA
14,NA,CSC/Pamplona,NA,Formal,20.75,20.75-20.75,2013-09-18 00:00:00,2013-09-18 00:00:00,1,NA,NA,NA,NA
15,NA,Party A,NA,Informal,NA,18-19,2013-09-18 00:00:00,2013-09-18 00:00:00,1,NA,NA,NA,NA
16,NA,Party B,NA,Informal,21.5,21.5-21.5,2013-09-18 00:00:00,2013-09-18 00:00:00,NA,NA,NA,NA,NA
17,DropAtInf,Party C,NA,NA,NA,NA,2013-09-18 00:00:00,2013-09-18 00:00:00,NA,NA,NA,NA,NA
18,NA,CSC/Pamplona,NA,Formal,21.25,21.25-21.25,2013-09-21 00:00:00,2013-09-21 00:00:00,1,NA,NA,NA,NA
19,Executed,CSC/Pamplona/Mac-Gray Board of Directors,S,NA,NA,NA,2013-10-14 00:00:00,2013-10-14 00:00:00,NA,NA,NA,NA,NA
20,Sale Press Release,NA,NA,NA,NA,NA,2013-10-15 00:00:00,2013-10-15 00:00:00,NA,NA,NA,NA,NA
21,NDA,Other unnamed financial bidders,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
