observation_id,obs_type,date_raw_text,date_sort,date_precision,subject_refs,subject_names,counterparty_refs,counterparty_names,summary,evidence_span_ids,type_fields
obs_evt_001,process,"April 5, 2013",2013-04-05 00:00:00,exact_day,target_board_board,Mac-Gray Board of Directors,NA,NA,"The Board discussed the sale of CSC to Pamplona and industry M&A dynamics, and authorized management to work with BofA Merrill Lynch to explore transactional opportunities, including with Party A.",span_0004,"{""other_detail"": ""Board authorized exploration of transactional opportunities"", ""process_kind"": ""other"", ""process_scope"": null}"
obs_evt_002,status,"April 8, 2013",2013-04-08 00:00:00,exact_day,bidder_party_a,Party A,NA,NA,BofA Merrill Lynch contacted Party A. Party A indicated it might consider a business combination with Mac-Gray.,span_0005,"{""other_detail"": null, ""related_observation_id"": null, ""status_kind"": ""expressed_interest""}"
obs_evt_003,process,"May 9, 2013",2013-05-09 00:00:00,exact_day,target_board_board,Mac-Gray Board of Directors,NA,NA,Board meeting to discuss strategic alternatives including sale process. Board formed the Transaction Committee and appointed Thomas Bullock and Paul Daoust as its members.,span_0006|span_0007|span_0008|span_0009,"{""other_detail"": ""Formation of Transaction Committee to oversee strategic alternatives review"", ""process_kind"": ""other"", ""process_scope"": null}"
obs_evt_004,process,"May 30, 2013",2013-05-30 00:00:00,exact_day,advisor_bofa,BofA Merrill Lynch,NA,NA,"Board unanimously approved the engagement of BofA Merrill Lynch as financial advisor for the Board's exploration of strategic alternatives, including a potential sale process.",span_0013|span_0014|span_0015,"{""other_detail"": null, ""process_kind"": ""advisor_retention"", ""process_scope"": null}"
obs_evt_005,process,"May 31, 2013",2013-05-31 00:00:00,exact_day,advisor_bofa,BofA Merrill Lynch,NA,NA,"Mac-Gray entered into an engagement letter with BofA Merrill Lynch with respect to the Board's undertaking a review of strategic alternatives, including a potential sale process.",span_0018,"{""other_detail"": null, ""process_kind"": ""advisor_retention"", ""process_scope"": null}"
obs_evt_006,proposal,"June 21, 2013",2013-06-21 00:00:00,exact_day,bidder_party_a,Party A,NA,NA,Party A submitted an unsolicited proposal to the Mac-Gray Board offering to purchase Mac-Gray for an all-cash purchase price of $17.00 to $19.00 per share.,span_0021,"{""delivery_mode"": null, ""includes_draft_merger_agreement"": false, ""includes_markup"": false, ""mentions_non_binding"": null, ""other_detail"": ""Referred to as the Party A June 21 proposal"", ""requested_by_observation_id"": null, ""revises_observation_id"": null, ""terms"": {""consideration_type"": ""cash"", ""enterprise_value"": null, ""per_share"": null, ""range_high"": ""19.00"", ""range_low"": ""17.00""}}"
obs_evt_007,process,"June 24, 2013",2013-06-24 00:00:00,exact_day,target_board_special_committee,Special Committee,NA,NA,Board established the Special Committee comprised of six independent directors and authorized it to explore strategic alternatives including a potential sale of the company. Mr. MacDonald and Mr. Rothenberg were excluded from the process.,span_0022|span_0023|span_0024|span_0104,"{""other_detail"": null, ""process_kind"": ""sale_launch"", ""process_scope"": ""target""}"
obs_evt_008,solicitation,"June 24, 2013",2013-06-24 00:00:00,exact_day,NA,NA,NA,NA,"The Special Committee determined to approach 50 parties (15 strategic buyers and 35 financial buyers, including CSC/Pamplona and Party A) to solicit potential interest in a transaction with Mac-Gray.",span_0025|span_0026|span_0029,"{""attachments"": [], ""binding_level"": null, ""due_date"": {""anchor_event_id"": null, ""anchor_span_id"": null, ""is_inferred"": false, ""normalized_end"": ""2013-07-23"", ""normalized_start"": ""2013-07-23"", ""precision"": ""exact_day"", ""raw_text"": ""July 23, 2013"", ""resolution_note"": null, ""sort_date"": ""2013-07-23""}, ""other_detail"": null, ""recipient_refs"": [""cohort_50_contacted""], ""requested_submission"": ""ioi""}"
obs_evt_009,agreement,During the next several weeks,2013-06-24 00:00:00,range,cohort_20_nda,20 potential bidders that entered NDAs,NA,NA,"A total of 20 potential bidders (2 strategic including Party A and CSC/Pamplona, 18 financial including Party B and Party C) entered into confidentiality agreements with Mac-Gray containing customary non-disclosure and standstill provisions.",span_0027|span_0028|span_0087,"{""agreement_kind"": ""nda"", ""consideration_type"": null, ""grants_diligence_access"": true, ""includes_standstill"": true, ""other_detail"": null, ""signed"": true, ""supersedes_observation_id"": null}"
obs_evt_010,agreement,"June 28, 2013",2013-06-28 00:00:00,exact_day,bidder_party_b,Party B,NA,NA,Party B entered into a confidentiality and standstill agreement with Mac-Gray and was provided with an informational package.,span_0033,"{""agreement_kind"": ""nda"", ""consideration_type"": null, ""grants_diligence_access"": true, ""includes_standstill"": true, ""other_detail"": null, ""signed"": true, ""supersedes_observation_id"": null}"
