TargetName,Events,Acquirer,DateAnnounced,URL
MEDIVATION INC,33,PFIZER INC,2016-08-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696911-index.htm
0.1,IB,Medivation Board of Directors/J. P. Morgan Securities LLC,NA,NA,NA,NA,2016-03-24 00:00:00,2016-03-24 00:00:00,NA,NA,NA,NA,NA
0.2,Bidder Interest,Sanofi,S,NA,NA,NA,2016-03-25 00:00:00,2016-03-25 00:00:00,NA,NA,NA,NA,NA
0.4,NA,Sanofi,NA,Informal,52.5,52.5-52.5,2016-04-13 00:00:00,2016-04-13 00:00:00,1,NA,NA,NA,NA
0.5,Bidder Interest,Pfizer,S,NA,NA,NA,2016-04-20 00:00:00,2016-04-20 00:00:00,NA,NA,NA,NA,NA
0.6,IB,Medivation Board of Directors/Evercore Group L. L. C.,NA,NA,NA,NA,2016-04-22 00:00:00,2016-04-22 00:00:00,NA,NA,NA,NA,NA
0.8,Bid Press Release,Sanofi,NA,NA,NA,NA,2016-04-28 00:00:00,2016-04-28 00:00:00,NA,NA,NA,NA,NA
0.9,NA,Sanofi,NA,NA,58,58-58,2016-06-27 00:00:00,2016-06-27 00:00:00,NA,NA,NA,NA,NA
1,NDA,Pfizer,NA,NA,NA,NA,2016-06-29 00:00:00,2016-06-29 00:00:00,NA,NA,NA,NA,NA
2,NDA,Sanofi,NA,NA,NA,NA,2016-07-05 00:00:00,2016-07-05 00:00:00,NA,NA,NA,NA,NA
3,NDA,NA,NA,NA,NA,NA,2016-07-09 00:00:00,2016-07-09 00:00:00,NA,NA,NA,NA,NA
4,NDA,NA,NA,NA,NA,NA,2016-07-13 00:00:00,2016-07-13 00:00:00,NA,NA,NA,NA,NA
5,NA,Pfizer,NA,Informal,65,65-65,2016-08-08 00:00:00,2016-08-08 00:00:00,1,NA,NA,NA,NA
6,NA,Company 1,S,Informal,71,71-71,2016-08-08 00:00:00,2016-08-08 00:00:00,1,NA,NA,NA,NA
7,NA,Company 2,S,Informal,NA,62-64,2016-08-08 00:00:00,2016-08-08 00:00:00,1,NA,NA,NA,NA
8,NA,Company 3,S,Informal,60,60-60,2016-08-08 00:00:00,2016-08-08 00:00:00,NA,NA,NA,NA,NA
9,NA,Company 4,S,Informal,63,63-63,2016-08-08 00:00:00,2016-08-08 00:00:00,NA,NA,NA,NA,NA
10,Final Round Ann,NA,NA,NA,NA,NA,2016-08-10 00:00:00,2016-08-10 00:00:00,NA,NA,NA,NA,NA
11,NA,Company 2,NA,Formal,70,70-70,2016-08-12 00:00:00,2016-08-12 00:00:00,1,NA,NA,NA,NA
12,NA,Company 3,NA,Formal,70.5,70.5-70.5,2016-08-12 00:00:00,2016-08-12 00:00:00,1,NA,NA,NA,NA
13,Final Round Ann,NA,NA,NA,NA,NA,2016-08-14 00:00:00,2016-08-14 00:00:00,NA,NA,NA,NA,NA
14,NA,Company 3,NA,Formal,72.5,72.5-72.5,2016-08-19 00:00:00,2016-08-19 00:00:00,1,NA,NA,NA,NA
15,NA,Company 1,NA,Formal,73,73-73,2016-08-19 00:00:00,2016-08-19 00:00:00,1,NA,NA,NA,NA
16,NA,Company 2,NA,Formal,75.5,75.5-75.5,2016-08-19 00:00:00,2016-08-19 00:00:00,1,NA,NA,NA,NA
17,NA,Pfizer,NA,Formal,77,77-77,2016-08-19 00:00:00,2016-08-19 00:00:00,1,NA,NA,NA,NA
18,Final Round,NA,NA,NA,NA,NA,2016-08-19 00:00:00,2016-08-19 00:00:00,NA,NA,NA,NA,NA
19,Final Round Ext Ann,NA,NA,NA,NA,NA,2016-08-19 00:00:00,2016-08-19 00:00:00,NA,NA,NA,NA,NA
20,NA,Pfizer,NA,Formal,81.5,81.5-81.5,2016-08-20 00:00:00,2016-08-20 00:00:00,1,NA,NA,NA,NA
21,NA,Company 1,NA,Formal,80.25,80.25-80.25,2016-08-20 00:00:00,2016-08-20 00:00:00,1,NA,NA,NA,NA
22,NA,Company 2,NA,Formal,80,80-80,2016-08-20 00:00:00,2016-08-20 00:00:00,1,NA,NA,NA,NA
23,Final Round Ext,NA,NA,NA,NA,NA,2016-08-20 00:00:00,2016-08-20 00:00:00,NA,NA,NA,NA,NA
24,Executed,Pfizer/Medivation Board of Directors,S,NA,NA,NA,2016-08-20 00:00:00,2016-08-20 00:00:00,NA,NA,NA,NA,NA
25,Bid Press Release,Pfizer/Medivation Board of Directors,NA,NA,NA,NA,2016-08-22 00:00:00,2016-08-22 00:00:00,NA,NA,NA,NA,NA
26,Target Sale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
