row_id,origin,analyst_event_type,subject_ref,subject_name,row_count,bidder_name,bidder_type,bid_type,value,range_low,range_high,enterprise_value,date_precision,date_recorded,date_public,date_sort_proxy,all_cash,rule_id,source_observation_ids,source_span_ids,confidence,review_flags,explanation
row_0001,literal,nda,bidder_sanofi,Sanofi,1,Sanofi,NA,NA,NA,NA,NA,NA,exact_day,2016-07-05 00:00:00,2016-07-05 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_cov_001,span_0023,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0002,literal,nda,target_board_medivation,Medivation,1,Medivation,NA,NA,NA,NA,NA,NA,exact_day,2016-07-05 00:00:00,2016-07-05 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_cov_002,span_0057,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0003,literal,nda,bidder_company_3,Company 3,1,Company 3,NA,NA,NA,NA,NA,NA,exact_day,2016-07-09 00:00:00,2016-07-09 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_cov_003,span_0058,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0004,literal,nda,bidder_company_4,Company 4,1,Company 4,NA,NA,NA,NA,NA,NA,exact_day,2016-07-13 00:00:00,2016-07-13 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_cov_004,span_0059,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0005,literal,proposal,bidder_sanofi,Sanofi,1,Sanofi,NA,Uncertain,NA,NA,NA,NA,NA,NA,NA,NA,NA,LITERAL-PROPOSAL,obs_evt_001,span_0002,high,NA,Literal proposal observation compiled directly into analyst row.
row_0006,literal,proposal,bidder_sanofi,Sanofi,1,Sanofi,NA,Informal,NA,NA,NA,NA,NA,NA,NA,NA,NA,LITERAL-PROPOSAL,obs_evt_005,span_0008,high,NA,Literal proposal observation compiled directly into analyst row.
row_0007,literal,proposal,bidder_sanofi,Sanofi,1,Sanofi,NA,Uncertain,NA,NA,NA,NA,NA,NA,NA,NA,NA,LITERAL-PROPOSAL,obs_evt_014,span_0020,high,NA,Literal proposal observation compiled directly into analyst row.
row_0008,literal,proposal,bidder_pfizer,Pfizer,1,Pfizer,NA,Informal,NA,NA,NA,NA,NA,NA,NA,NA,NA,LITERAL-PROPOSAL,obs_evt_024,span_0031,high,NA,Literal proposal observation compiled directly into analyst row.
row_0009,literal,proposal,bidder_company_1,Company 1,1,Company 1,NA,Informal,NA,NA,NA,NA,NA,NA,NA,NA,NA,LITERAL-PROPOSAL,obs_evt_025,span_0031,high,NA,Literal proposal observation compiled directly into analyst row.
row_0010,literal,proposal,bidder_company_2,Company 2,1,Company 2,NA,Informal,NA,NA,NA,NA,NA,NA,NA,NA,NA,LITERAL-PROPOSAL,obs_evt_026,span_0031,high,NA,Literal proposal observation compiled directly into analyst row.
row_0011,literal,proposal,bidder_company_3,Company 3,1,Company 3,NA,Informal,NA,NA,NA,NA,NA,NA,NA,NA,NA,LITERAL-PROPOSAL,obs_evt_027,span_0031,high,NA,Literal proposal observation compiled directly into analyst row.
row_0012,literal,proposal,bidder_company_4,Company 4,1,Company 4,NA,Informal,NA,NA,NA,NA,NA,NA,NA,NA,NA,LITERAL-PROPOSAL,obs_evt_028,span_0031,high,NA,Literal proposal observation compiled directly into analyst row.
row_0013,literal,proposal,bidder_company_2,Company 2,1,Company 2,NA,Uncertain,NA,NA,NA,NA,NA,NA,NA,NA,NA,LITERAL-PROPOSAL,obs_evt_032,span_0033|span_0054,high,NA,Literal proposal observation compiled directly into analyst row.
row_0014,literal,proposal,bidder_company_2,Company 2,1,Company 2,NA,Uncertain,NA,NA,NA,NA,NA,NA,NA,NA,NA,LITERAL-PROPOSAL,obs_evt_033,span_0034,high,NA,Literal proposal observation compiled directly into analyst row.
row_0015,literal,proposal,bidder_company_3,Company 3,1,Company 3,NA,Uncertain,NA,NA,NA,NA,NA,NA,NA,NA,NA,LITERAL-PROPOSAL,obs_evt_034,span_0034,high,NA,Literal proposal observation compiled directly into analyst row.
row_0016,literal,proposal,bidder_pfizer,Pfizer,1,Pfizer,NA,Formal,NA,NA,NA,NA,NA,NA,NA,NA,NA,LITERAL-PROPOSAL,obs_evt_037,span_0037|span_0038,high,NA,Literal proposal observation compiled directly into analyst row.
row_0017,literal,proposal,bidder_company_1,Company 1,1,Company 1,NA,Formal,NA,NA,NA,NA,NA,NA,NA,NA,NA,LITERAL-PROPOSAL,obs_evt_038,span_0037|span_0038,high,NA,Literal proposal observation compiled directly into analyst row.
row_0018,literal,proposal,bidder_company_2,Company 2,1,Company 2,NA,Formal,NA,NA,NA,NA,NA,NA,NA,NA,NA,LITERAL-PROPOSAL,obs_evt_039,span_0037|span_0038,high,NA,Literal proposal observation compiled directly into analyst row.
row_0019,literal,proposal,bidder_company_3,Company 3,1,Company 3,NA,Formal,NA,NA,NA,NA,NA,NA,NA,NA,NA,LITERAL-PROPOSAL,obs_evt_040,span_0037|span_0038,high,NA,Literal proposal observation compiled directly into analyst row.
row_0020,literal,proposal,bidder_pfizer,Pfizer,1,Pfizer,NA,Formal,NA,NA,NA,NA,NA,NA,NA,NA,NA,LITERAL-PROPOSAL,obs_evt_044,span_0042,high,NA,Literal proposal observation compiled directly into analyst row.
row_0021,literal,proposal,bidder_company_1,Company 1,1,Company 1,NA,Formal,NA,NA,NA,NA,NA,NA,NA,NA,NA,LITERAL-PROPOSAL,obs_evt_045,span_0042,high,NA,Literal proposal observation compiled directly into analyst row.
row_0022,literal,proposal,bidder_company_2,Company 2,1,Company 2,NA,Formal,NA,NA,NA,NA,NA,NA,NA,NA,NA,LITERAL-PROPOSAL,obs_evt_046,span_0042,high,NA,Literal proposal observation compiled directly into analyst row.
