TargetName,Events,Acquirer,DateAnnounced,URL
PENFORD CORP,23,INGREDION INC,2014-10-15 00:00:00,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm
0.5,Bidder Interest,Ingredion/Penford,S,NA,NA,NA,2014-07-17 00:00:00,2014-07-17 00:00:00,NA,NA,NA,NA,NA
1,NDA,Ingredion/Penford,NA,NA,NA,NA,2014-07-20 00:00:00,2014-07-20 00:00:00,NA,NA,NA,NA,NA
2,Activist Sale,SEACOR/Penford,NA,NA,NA,NA,2014-07-24 00:00:00,2014-07-24 00:00:00,NA,NA,NA,NA,NA
3,IB,Penford/Deutsche Bank,NA,NA,NA,NA,2014-07-24 00:00:00,2014-07-24 00:00:00,NA,NA,NA,NA,NA
4,NA,Ingredion/Penford,NA,NA,17,17-17,2014-08-06 00:00:00,2014-08-06 00:00:00,NA,NA,NA,NA,NA
5,NA,Ingredion/Penford,NA,Informal,18,18-18,2014-08-10 00:00:00,2014-08-10 00:00:00,1,NA,NA,NA,NA
6,Bidder Interest,Party A/Penford,S,NA,NA,NA,2014-08-11 00:00:00,2014-08-11 00:00:00,NA,NA,NA,NA,NA
7,NDA,Ingredion/Penford,NA,NA,NA,NA,2014-08-21 00:00:00,2014-08-21 00:00:00,NA,NA,NA,NA,NA
8,Target Sale,NA,NA,NA,NA,NA,2014-08-28 00:00:00,2014-08-28 00:00:00,NA,NA,NA,NA,NA
9,Bidder Interest,Party B/Penford,S,NA,NA,NA,2014-09-09 00:00:00,2014-09-09 00:00:00,NA,NA,NA,NA,NA
10,Bidder Interest,Party C/Penford,S,NA,NA,NA,2014-09-10 00:00:00,2014-09-10 00:00:00,NA,NA,NA,NA,NA
11,Bidder Interest,Party D/Penford,S,NA,NA,NA,2014-09-11 00:00:00,2014-09-11 00:00:00,NA,NA,NA,NA,NA
12,NDA,Party C/Penford,NA,NA,NA,NA,2014-09-15 00:00:00,2014-09-15 00:00:00,NA,NA,NA,NA,NA
13,NA,Ingredion/Penford,NA,Informal,NA,18.25-18.5,2014-09-17 00:00:00,2014-09-17 00:00:00,NA,NA,NA,NA,NA
14,NDA,Party D/Penford,NA,NA,NA,NA,2014-09-23 00:00:00,2014-09-23 00:00:00,NA,NA,NA,NA,NA
15,NDA,Party A/Penford,NA,NA,NA,NA,2014-09-30 00:00:00,2014-09-30 00:00:00,NA,NA,NA,NA,NA
16,NA,Ingredion/Penford,NA,NA,18.5,18.5-18.5,2014-10-02 00:00:00,2014-10-02 00:00:00,NA,NA,NA,NA,NA
17,NA,Ingredion/Penford,NA,Informal,19,19-19,2014-10-02 00:00:00,2014-10-02 00:00:00,NA,NA,NA,NA,NA
18,Drop,Party D/Penford,NA,NA,NA,NA,2014-10-08 00:00:00,2014-10-08 00:00:00,NA,NA,NA,NA,NA
19,NA,Party A/Penford,NA,Informal,NA,16-18,2014-10-13 00:00:00,2014-10-13 00:00:00,NA,NA,NA,NA,NA
20,NA,Party A/Penford,NA,Informal,16,16-16,2014-10-14 00:00:00,2014-10-14 00:00:00,NA,NA,NA,NA,NA
21,Executed,Penford/Ingredion,NA,NA,NA,NA,2014-10-14 00:00:00,2014-10-14 00:00:00,NA,NA,NA,NA,NA
22,Bid Press Release,Penford/Ingredion,NA,NA,NA,NA,2014-10-15 00:00:00,2014-10-15 00:00:00,NA,NA,NA,NA,NA
