row_id,origin,analyst_event_type,subject_ref,subject_name,row_count,bidder_name,bidder_type,bid_type,value,range_low,range_high,enterprise_value,date_precision,date_recorded,date_public,date_sort_proxy,all_cash,rule_id,source_observation_ids,source_span_ids,confidence,review_flags,explanation
row_0001,literal,bid_press_release,party_activist_seacor,SEACOR,1,SEACOR,NA,NA,NA,NA,NA,NA,exact_day,2014-07-11 00:00:00,2014-07-11 00:00:00,NA,NA,LITERAL-PROCESS,obs_process_seacor_filing_20140711,span_0001,high,NA,Literal process observation compiled directly into analyst row.
row_0002,literal,bidder_interest,party_bidder_ingredion,Ingredion,1,Ingredion,S,NA,NA,NA,NA,NA,exact_day,2014-07-17 00:00:00,2014-07-17 00:00:00,NA,NA,LITERAL-STATUS,obs_status_ingredion_interest_20140717,span_0002,high,NA,Literal expressed-interest status compiled directly into analyst row.
row_0003,literal,nda,party_bidder_ingredion,Ingredion,1,Ingredion,S,NA,NA,NA,NA,NA,exact_day,2014-07-20 00:00:00,2014-07-20 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_agreement_ingredion_secrecy_20140720,span_0003,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0004,literal,ib_retention,party_exec_committee_penford,Executive Committee,1,Executive Committee,NA,NA,NA,NA,NA,NA,exact_day,2014-07-24 00:00:00,2014-07-24 00:00:00,NA,NA,LITERAL-PROCESS,obs_process_advisor_retention_deutsche_20140724,span_0004,high,NA,Literal process observation compiled directly into analyst row.
row_0005,literal,proposal,party_bidder_ingredion,Ingredion,1,Ingredion,S,Uncertain,17,NA,NA,NA,exact_day,2014-08-06 00:00:00,2014-08-06 00:00:00,NA,0,LITERAL-PROPOSAL,obs_proposal_ingredion_20140806,span_0005,high,NA,Literal proposal observation compiled directly into analyst row.
row_0006,literal,proposal,party_bidder_ingredion,Ingredion,1,Ingredion,S,Informal,18,NA,NA,NA,exact_day,2014-08-10 00:00:00,2014-08-10 00:00:00,NA,1,LITERAL-PROPOSAL,obs_proposal_ingredion_20140810,span_0006|span_0008,high,NA,Literal proposal observation compiled directly into analyst row.
row_0007,literal,bidder_interest,party_bidder_party_a,Party A,1,Party A,S,NA,NA,NA,NA,NA,exact_day,2014-08-11 00:00:00,2014-08-11 00:00:00,NA,NA,LITERAL-STATUS,obs_status_party_a_interest_20140811,span_0007,high,NA,Literal expressed-interest status compiled directly into analyst row.
row_0023,literal,drop,party_activist_seacor,SEACOR,1,SEACOR,NA,NA,NA,NA,NA,NA,exact_day,2014-08-12 00:00:00,2014-08-12 00:00:00,NA,NA,EXIT-01,obs_status_seacor_not_interested_20140812,span_0007,high,NA,Literal status observation recorded bidder withdrawal or non-participation.
row_0009,literal,standstill,party_bidder_ingredion,Ingredion,1,Ingredion,S,NA,NA,NA,NA,NA,exact_day,2014-08-21 00:00:00,2014-08-21 00:00:00,NA,NA,AGREEMENT-01,obs_agreement_ingredion_standstill_20140821,span_0009,high,supersedes:obs_agreement_ingredion_secrecy_20140720,Literal agreement observation compiled into NDA-family analyst row.
row_0008,literal,exclusivity,party_bidder_ingredion,Ingredion,1,Ingredion,S,NA,NA,NA,NA,NA,exact_day,2014-08-21 00:00:00,2014-08-21 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_agreement_exclusivity_declined_20140821,span_0009,high,NA,Literal agreement observation compiled into NDA-family analyst row.
