TargetName,Events,Acquirer,DateAnnounced,URL
PETSMART INC,14,"BC Partners, Inc., La Caisse de d̩p̫t et placement du Qu̩bec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",2014-12-14 00:00:00,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm
1,Activist Sale,JANA Partners,NA,NA,NA,NA,2014-07-03 00:00:00,2014-07-03 00:00:00,NA,NA,NA,NA,NA
2,Activist Sale,Longview,NA,NA,NA,NA,2014-07-07 00:00:00,2014-07-07 00:00:00,NA,NA,NA,NA,NA
3,Bidder Interest,Industry Participant,S,NA,NA,NA,2014-08-07 00:00:00,2014-08-07 00:00:00,NA,NA,NA,NA,NA
4,Target Sale,NA,NA,NA,NA,NA,2014-08-13 00:00:00,2014-08-13 00:00:00,NA,NA,NA,NA,NA
5,Target Sale Public,NA,NA,NA,NA,NA,2014-08-19 00:00:00,2014-08-19 00:00:00,NA,NA,NA,NA,NA
6,Final Round Ann,NA,NA,NA,NA,NA,2014-11-03 00:00:00,2014-11-03 00:00:00,NA,NA,NA,NA,NA
7,NA,Buyer Group,F,Formal,80.7,80.7-80.7,2014-12-10 00:00:00,2014-12-10 00:00:00,1,NA,NA,NA,NA
8,NA,Bidder 2,NA,Formal,80.35,80.35-80.35,2014-12-10 00:00:00,2014-12-10 00:00:00,1,NA,NA,NA,NA
9,Final Round,NA,NA,NA,NA,NA,2014-12-10 00:00:00,2014-12-10 00:00:00,NA,NA,NA,NA,NA
10,Final Round Ext Ann,NA,NA,NA,NA,NA,2014-12-10 00:00:00,2014-12-10 00:00:00,NA,NA,NA,NA,NA
11,NA,Bidder 2,NA,Formal,81.5,81.5-81.5,2014-12-12 00:00:00,2014-12-12 00:00:00,1,NA,NA,NA,NA
12,NA,Buyer Group,NA,Formal,83,83-83,2014-12-12 00:00:00,2014-12-12 00:00:00,1,NA,NA,NA,NA
13,Executed,PetSmart board and ad hoc committee/Buyer Group,F,NA,NA,NA,2014-12-14 00:00:00,2014-12-14 00:00:00,NA,NA,NA,NA,NA
14,IB,J. P. Morgan/PetSmart board and ad hoc committee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
