TargetName,Events,Acquirer,DateAnnounced,URL
PROVIDENCE & WORCESTER RR CO,18,GENESEE & WYOMING INC,2016-08-15 00:00:00,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm
0.5,Target Sale,NA,NA,NA,NA,NA,2016-03-14 00:00:00,2016-03-14 00:00:00,NA,NA,NA,NA,NA
1,NDA,Party A/Other strategic NDA signers/Financial NDA signers,S/S/F,NA,NA,NA,2016-03-28 00:00:00,2016-03-28 00:00:00,NA,NA,NA,NA,NA
2,Bidder Interest,Party B,S,NA,NA,NA,2016-04-21 00:00:00,2016-04-21 00:00:00,NA,NA,NA,NA,NA
3,Final Round Ann,NA,NA,NA,NA,NA,2016-06-15 00:00:00,NA,NA,NA,NA,NA,NA
4,NA,Party C,S,Informal,21,21-21,2016-07-12 00:00:00,2016-07-12 00:00:00,NA,NA,NA,NA,NA
5,NA,G& W,S,Informal,21.15,21.15-21.15,2016-07-21 00:00:00,2016-07-21 00:00:00,NA,NA,NA,NA,NA
6,NA,Party B,NA,Informal,24,24-24,2016-07-25 00:00:00,NA,NA,NA,NA,NA,NA
7,NA,Party E,S,Informal,21.26,21.26-21.26,2016-07-25 00:00:00,NA,NA,NA,NA,NA,NA
8,NA,Party D,F,Informal,21,21-21,2016-07-25 00:00:00,NA,NA,NA,NA,NA,NA
9,NA,Party C,NA,Informal,19.3,19.3-19.3,2016-07-25 00:00:00,NA,NA,NA,NA,NA,NA
10,NA,Party F,S,Informal,19.2,19.2-19.2,2016-07-25 00:00:00,NA,NA,NA,NA,NA,NA
11,NA,Party D,NA,Informal,24,24-24,2016-08-01 00:00:00,2016-08-01 00:00:00,NA,NA,NA,NA,NA
12,NA,Party E/Party F,S/S,Informal,23.81,23.81-23.81,2016-08-01 00:00:00,2016-08-01 00:00:00,NA,NA,NA,NA,NA
13,Drop,Party D,NA,NA,NA,NA,2016-08-02 00:00:00,2016-08-02 00:00:00,NA,NA,NA,NA,NA
14,Bidder Interest,G& W,NA,NA,NA,NA,2016-08-11 00:00:00,2016-08-11 00:00:00,NA,NA,NA,NA,NA
15,NA,G& W,NA,Informal,25,25-25,2016-08-12 00:00:00,2016-08-12 00:00:00,1,NA,NA,NA,NA
16,Bid Press Release,Providence & Worcester Board / Transaction Committee/G& W,S,NA,NA,NA,2016-08-15 00:00:00,2016-08-15 00:00:00,NA,NA,NA,NA,NA
17,Executed,Providence & Worcester Board / Transaction Committee/G& W,NA,NA,NA,NA,2016-08-15 00:00:00,2016-08-15 00:00:00,NA,NA,NA,NA,NA
