row_id,origin,analyst_event_type,subject_ref,subject_name,row_count,bidder_name,bidder_type,bid_type,value,range_low,range_high,enterprise_value,date_precision,date_recorded,date_public,date_sort_proxy,all_cash,rule_id,source_observation_ids,source_span_ids,confidence,review_flags,explanation
row_0001,literal,ib_retention,advisor_bmo_capital_markets,BMO Capital Markets Corp. / Greene Holcomb & Fisher LLC,1,BMO Capital Markets Corp. / Greene Holcomb & Fisher LLC,NA,NA,NA,NA,NA,NA,exact_day,2016-01-27 00:00:00,2016-01-27 00:00:00,NA,NA,LITERAL-PROCESS,obs_evt_002,span_0003,high,NA,Literal process observation compiled directly into analyst row.
row_0002,literal,target_sale,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,exact_day,2016-03-14 00:00:00,2016-03-14 00:00:00,NA,NA,LITERAL-PROCESS,obs_evt_003,span_0004|span_0005,high,NA,Literal process observation compiled directly into analyst row.
row_0003,literal,nda,bidder_party_a,Party A,1,Party A,S,NA,NA,NA,NA,NA,exact_day,2016-04-22 00:00:00,2016-04-22 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_evt_004,span_0006,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0004,literal,nda,bidder_gw,G& W,1,G& W,S,NA,NA,NA,NA,NA,exact_day,2016-04-22 00:00:00,2016-04-22 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_evt_005,span_0006,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0005,literal,nda,bidder_party_b,Party B,1,Party B,S,NA,NA,NA,NA,NA,exact_day,2016-04-22 00:00:00,2016-04-22 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_evt_006,span_0006,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0008,literal,proposal,bidder_party_c,Party C,1,Party C,S,Formal,21,NA,NA,NA,exact_day,2016-07-12 00:00:00,2016-07-12 00:00:00,NA,1,LITERAL-PROPOSAL,obs_evt_011,span_0008,high,NA,Literal proposal observation compiled directly into analyst row.
row_0025,derived,drop,bidder_party_a,Party A,1,Party A,S,NA,NA,NA,NA,NA,exact_day,2016-07-20 00:00:00,2016-07-20 00:00:00,NA,NA,EXIT-04,obs_evt_008,span_0001,high,reason:lost_to_winner,Execution outcome closed out remaining active bidders in favor of the winner.
row_0023,derived,final_round,NA,NA,1,NA,NA,Formal,NA,NA,NA,NA,exact_day,2016-07-20 00:00:00,2016-07-20 00:00:00,NA,1,ROUND-02,obs_evt_008,span_0001,high,NA,Solicitation requested LOIs/binding offers or carried formal attachments.
row_0009,literal,proposal,bidder_gw,G& W,1,G& W,S,Formal,21.15,NA,NA,NA,exact_day,2016-07-21 00:00:00,2016-07-21 00:00:00,NA,1,LITERAL-PROPOSAL,obs_evt_013,span_0009|span_0001|span_0010,high,NA,Literal proposal observation compiled directly into analyst row.
row_0015,literal,proposal,bidder_party_d,Party D,1,Party D,F,Informal,24,NA,NA,NA,exact_day,2016-08-01 00:00:00,2016-08-01 00:00:00,NA,1,LITERAL-PROPOSAL,obs_evt_020,span_0017|span_0001,high,NA,Literal proposal observation compiled directly into analyst row.
row_0016,literal,proposal,bidder_party_e,Party E,1,Party E,S,Informal,23.81,NA,NA,NA,exact_day,2016-08-01 00:00:00,2016-08-01 00:00:00,NA,1,LITERAL-PROPOSAL,obs_evt_021,span_0017|span_0018|span_0018|span_0001,high,NA,Literal proposal observation compiled directly into analyst row.
row_0017,literal,proposal,bidder_party_f,Party F,1,Party F,S,Informal,23.81,NA,NA,NA,exact_day,2016-08-01 00:00:00,2016-08-01 00:00:00,NA,1,LITERAL-PROPOSAL,obs_evt_021,span_0017|span_0018|span_0018|span_0001,high,NA,Literal proposal observation compiled directly into analyst row.
row_0028,derived,drop,bidder_party_e,Party E,1,Party E,S,NA,NA,NA,NA,NA,exact_day,2016-08-01 00:00:00,2016-08-01 00:00:00,NA,NA,EXIT-04,obs_evt_021,span_0017|span_0018|span_0018|span_0001,high,reason:lost_to_winner,Execution outcome closed out remaining active bidders in favor of the winner.
row_0029,derived,drop,bidder_party_f,Party F,1,Party F,S,NA,NA,NA,NA,NA,exact_day,2016-08-01 00:00:00,2016-08-01 00:00:00,NA,NA,EXIT-04,obs_evt_021,span_0017|span_0018|span_0018|span_0001,high,reason:lost_to_winner,Execution outcome closed out remaining active bidders in favor of the winner.
