row_id,origin,analyst_event_type,subject_ref,subject_name,row_count,bidder_name,bidder_type,bid_type,value,range_low,range_high,enterprise_value,date_precision,date_recorded,date_public,date_sort_proxy,all_cash,rule_id,source_observation_ids,source_span_ids,confidence,review_flags,explanation
row_0002,literal,bidder_interest,bidder_hudsons_bay,Hudson's Bay,1,Hudson's Bay,S,NA,NA,NA,NA,NA,exact_day,2013-04-01 00:00:00,2013-04-01 00:00:00,NA,NA,LITERAL-STATUS,obs_evt_002,span_0005,high,NA,Literal expressed-interest status compiled directly into analyst row.
row_0005,literal,nda,other_sponsor_c,Sponsor C,1,Sponsor C,NA,NA,NA,NA,NA,NA,exact_day,2013-04-17 00:00:00,2013-04-17 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_evt_006,span_0011,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0006,literal,nda,other_sponsor_d,Sponsor D,1,Sponsor D,NA,NA,NA,NA,NA,NA,exact_day,2013-04-19 00:00:00,2013-04-19 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_evt_007,span_0011,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0007,literal,nda,bidder_sponsor_a,Sponsor A,1,Sponsor A,F,NA,NA,NA,NA,NA,exact_day,2013-04-26 00:00:00,2013-04-26 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_evt_008,span_0012,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0008,literal,nda,bidder_sponsor_e,Sponsor E,1,Sponsor E,F,NA,NA,NA,NA,NA,exact_day,2013-04-26 00:00:00,2013-04-26 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_evt_008,span_0012,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0009,literal,nda,bidder_hudsons_bay,Hudson's Bay,1,Hudson's Bay,S,NA,NA,NA,NA,NA,exact_day,2013-04-30 00:00:00,2013-04-30 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_evt_009,span_0013,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0012,literal,target_sale,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,exact_day,2013-06-05 00:00:00,2013-06-05 00:00:00,NA,NA,LITERAL-PROCESS,obs_evt_012,span_0017,high,NA,Literal process observation compiled directly into analyst row.
row_0025,derived,final_round_ann,bidder_hudsons_bay,Hudson's Bay,1,Hudson's Bay,S,Formal,NA,NA,NA,NA,exact_day,2013-07-02 00:00:00,2013-07-02 00:00:00,NA,1,ROUND-02,obs_evt_014,span_0019,high,NA,Solicitation requested LOIs/binding offers or carried formal attachments.
row_0027,derived,final_round_ann,bidder_sponsor_a,Sponsor A,1,Sponsor A,F,Formal,NA,NA,NA,NA,exact_day,2013-07-02 00:00:00,2013-07-02 00:00:00,NA,1,ROUND-02,obs_evt_014,span_0019,high,NA,Solicitation requested LOIs/binding offers or carried formal attachments.
row_0029,derived,final_round_ann,bidder_sponsor_e,Sponsor E,1,Sponsor E,F,Formal,NA,NA,NA,NA,exact_day,2013-07-02 00:00:00,2013-07-02 00:00:00,NA,1,ROUND-02,obs_evt_014,span_0019,high,NA,Solicitation requested LOIs/binding offers or carried formal attachments.
