TargetName,Events,Acquirer,DateAnnounced,URL
S T E C INC,33,WESTERN DIGITAL CORP,2013-06-24 00:00:00,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm
0.2,Bidder Interest,Company A/Company A financial advisor,S,NA,NA,NA,2012-11-14 00:00:00,2012-11-14 00:00:00,NA,NA,NA,NA,NA
0.3,Activist Sale,Balch Hill,NA,NA,NA,NA,2012-12-06 00:00:00,2012-12-06 00:00:00,NA,NA,NA,NA,NA
0.5,Bidder Interest,Company B,S,NA,NA,NA,2013-02-13 00:00:00,2013-02-13 00:00:00,NA,NA,NA,NA,NA
0.7,Target Sale,NA,NA,NA,NA,NA,2013-03-26 00:00:00,2013-03-26 00:00:00,NA,NA,NA,NA,NA
0.8,IB,BofA Merrill Lynch,NA,NA,NA,NA,2013-03-28 00:00:00,2013-03-28 00:00:00,NA,NA,NA,NA,NA
1,NDA,Company E,S,NA,NA,NA,2013-04-04 00:00:00,2013-04-04 00:00:00,NA,NA,NA,NA,NA
2,NDA,Company D,S,NA,NA,NA,2013-04-10 00:00:00,2013-04-10 00:00:00,NA,NA,NA,NA,NA
3,NDA,Company F,S,NA,NA,NA,2013-04-11 00:00:00,2013-04-11 00:00:00,NA,NA,NA,NA,NA
4,NDA,Company G,S,NA,NA,NA,2013-04-17 00:00:00,2013-04-17 00:00:00,NA,NA,NA,NA,NA
5,NDA,WDC,S,NA,NA,NA,2013-04-17 00:00:00,2013-04-17 00:00:00,NA,NA,NA,NA,NA
6,NA,Company D,NA,Informal,NA,NA,2013-04-23 00:00:00,2013-04-23 00:00:00,1,NA,NA,NA,NA
7,Drop,Company F,NA,NA,NA,NA,2013-04-24 00:00:00,2013-04-24 00:00:00,NA,NA,NA,NA,NA
8,Bidder Interest,Company H,S,NA,NA,NA,2013-05-01 00:00:00,2013-05-01 00:00:00,NA,NA,NA,NA,NA
9,NA,WDC,NA,Informal,NA,6.6-7.1,2013-05-03 00:00:00,2013-05-03 00:00:00,1,NA,NA,NA,NA
10,Drop,Company G,NA,NA,NA,NA,2013-05-03 00:00:00,2013-05-03 00:00:00,NA,NA,NA,NA,NA
11,NDA,Company H,NA,NA,NA,NA,2013-05-08 00:00:00,2013-05-08 00:00:00,NA,NA,NA,NA,NA
12,NA,Company D,NA,Informal,5.75,5.75-5.75,2013-05-10 00:00:00,2013-05-10 00:00:00,1,NA,NA,NA,NA
13,NA,Company H,NA,Informal,NA,5-5.75,2013-05-15 00:00:00,2013-05-15 00:00:00,1,NA,NA,NA,NA
14,Final Round Ann,NA,NA,NA,NA,NA,2013-05-16 00:00:00,2013-05-16 00:00:00,NA,NA,NA,NA,NA
15,NA,WDC,NA,Formal,9.15,9.15-9.15,2013-05-28 00:00:00,2013-05-28 00:00:00,1,NA,NA,NA,NA
16,Final Round,NA,NA,NA,NA,NA,2013-05-28 00:00:00,2013-05-28 00:00:00,NA,NA,NA,NA,NA
17,Final Round Ext Ann,NA,NA,NA,NA,NA,2013-05-29 00:00:00,2013-05-29 00:00:00,NA,NA,NA,NA,NA
18,NA,WDC,NA,Formal,9.15,9.15-9.15,2013-05-30 00:00:00,2013-05-30 00:00:00,1,NA,NA,NA,NA
19,Final Round Ext,NA,NA,NA,NA,NA,2013-05-30 00:00:00,2013-05-30 00:00:00,NA,NA,NA,NA,NA
20,Drop,WDC,NA,NA,NA,NA,2013-05-31 00:00:00,2013-05-31 00:00:00,NA,NA,NA,NA,NA
21,Drop,Company D,NA,NA,NA,NA,2013-06-05 00:00:00,2013-06-05 00:00:00,NA,NA,NA,NA,NA
22,NA,WDC,NA,Informal,NA,6.6-7.1,2013-06-10 00:00:00,2013-06-10 00:00:00,1,NA,NA,NA,NA
23,NA,WDC,NA,Formal,6.85,6.85-6.85,2013-06-14 00:00:00,2013-06-14 00:00:00,1,NA,NA,NA,NA
24,Executed,sTec board of directors/WDC,S,NA,NA,NA,2013-06-23 00:00:00,2013-06-23 00:00:00,NA,NA,NA,NA,NA
25,Bid Press Release,WDC,NA,NA,NA,NA,2013-06-24 00:00:00,2013-06-24 00:00:00,NA,NA,NA,NA,NA
26,Target Sale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Bidder Interest,Company D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Drop,Company E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
