row_id,origin,analyst_event_type,subject_ref,subject_name,row_count,bidder_name,bidder_type,bid_type,value,range_low,range_high,enterprise_value,date_precision,date_recorded,date_public,date_sort_proxy,all_cash,rule_id,source_observation_ids,source_span_ids,confidence,review_flags,explanation
row_0002,literal,bidder_interest,bidder_company_a,Company A,1,Company A,S,NA,NA,NA,NA,NA,exact_day,2012-11-14 00:00:00,2012-11-14 00:00:00,NA,NA,LITERAL-STATUS,obs_evt_002,span_0005,high,NA,Literal expressed-interest status compiled directly into analyst row.
row_0003,literal,bid_press_release,activist_balch_hill,Balch Hill Partners,1,Balch Hill Partners,NA,NA,NA,NA,NA,NA,exact_day,2012-11-16 00:00:00,2012-11-16 00:00:00,NA,NA,LITERAL-PROCESS,obs_evt_044,span_0006|span_0008|span_0067,high,NA,Literal process observation compiled directly into analyst row.
row_0004,literal,bidder_interest,bidder_company_b,Company B,1,Company B,S,NA,NA,NA,NA,NA,exact_day,2013-02-13 00:00:00,2013-02-13 00:00:00,NA,NA,LITERAL-STATUS,obs_evt_003,span_0011,high,NA,Literal expressed-interest status compiled directly into analyst row.
row_0005,literal,bidder_interest,bidder_company_c,Company C,1,Company C,S,NA,NA,NA,NA,NA,exact_day,2013-03-13 00:00:00,2013-03-13 00:00:00,NA,NA,LITERAL-STATUS,obs_evt_005,span_0013,high,NA,Literal expressed-interest status compiled directly into analyst row.
row_0007,literal,target_sale,target_board_stec,sTec Board of Directors,1,sTec Board of Directors,NA,NA,NA,NA,NA,NA,exact_day,2013-03-26 00:00:00,2013-03-26 00:00:00,NA,NA,LITERAL-PROCESS,obs_evt_045,span_0016|span_0018,high,NA,Literal process observation compiled directly into analyst row.
row_0027,synthetic_anonymous,final_round_inf_ann,cohort_18_prospective_acquirers,18 prospective acquirers contacted by BofA Merrill Lynch,18,18 prospective acquirers contacted by BofA Merrill Lynch,NA,Informal,NA,NA,NA,NA,exact_day,2013-04-01 00:00:00,2013-04-01 00:00:00,NA,NA,ROUND-01,obs_evt_012,span_0019|span_0020,high,NA,Solicitation requested non-binding IOIs.
row_0008,literal,nda,bidder_company_e,Company E,1,Company E,S,NA,NA,NA,NA,NA,exact_day,2013-04-04 00:00:00,2013-04-04 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_evt_009,span_0021,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0009,literal,nda,bidder_company_d,Company D,1,Company D,S,NA,NA,NA,NA,NA,exact_day,2013-04-10 00:00:00,2013-04-10 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_evt_010,span_0021,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0010,literal,nda,bidder_company_f,Company F,1,Company F,S,NA,NA,NA,NA,NA,exact_day,2013-04-11 00:00:00,2013-04-11 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_evt_011,span_0022,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0044,literal,drop,bidder_company_c,Company C,1,Company C,S,NA,NA,NA,NA,NA,exact_day,2013-04-15 00:00:00,2013-04-15 00:00:00,NA,NA,EXIT-01,obs_evt_015,span_0024,high,NA,Literal status observation recorded bidder withdrawal or non-participation.
