row_id,origin,analyst_event_type,subject_ref,subject_name,row_count,bidder_name,bidder_type,bid_type,value,range_low,range_high,enterprise_value,date_precision,date_recorded,date_public,date_sort_proxy,all_cash,rule_id,source_observation_ids,source_span_ids,confidence,review_flags,explanation
row_0001,literal,target_sale,target_zep,ZEP INC,1,ZEP INC,NA,NA,NA,NA,NA,NA,exact_day,2014-01-28 00:00:00,2014-01-28 00:00:00,NA,NA,LITERAL-PROCESS,obs_evt_005,span_0006|span_0007|span_0008,high,NA,Literal process observation compiled directly into analyst row.
row_0002,literal,target_sale,advisor_bofa,BofA Merrill Lynch,1,BofA Merrill Lynch,NA,NA,NA,NA,NA,NA,exact_day,2014-01-28 00:00:00,2014-01-28 00:00:00,NA,NA,LITERAL-PROCESS,obs_evt_005,span_0006|span_0007|span_0008,high,NA,Literal process observation compiled directly into analyst row.
row_0003,literal,target_sale,target_zep,ZEP INC,1,ZEP INC,NA,NA,NA,NA,NA,NA,exact_day,2014-02-27 00:00:00,2014-02-27 00:00:00,NA,NA,LITERAL-PROCESS,obs_evt_006,span_0009,high,NA,Literal process observation compiled directly into analyst row.
row_0004,literal,nda,target_zep,ZEP INC,1,ZEP INC,NA,NA,NA,NA,NA,NA,exact_day,2014-03-19 00:00:00,2014-03-19 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_evt_008,span_0011,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0016,literal,drop,bidder_new_mountain_capital,New Mountain Capital,1,New Mountain Capital,NA,NA,NA,NA,NA,NA,exact_day,2014-03-27 00:00:00,2014-03-27 00:00:00,NA,NA,EXIT-01,obs_evt_010,span_0013,high,NA,Literal status observation recorded bidder withdrawal or non-participation.
row_0005,synthetic_anonymous,proposal,cohort_5_first_round_bidders,"five parties, comprising four financial buyers and one strategic buyer",5,"five parties, comprising four financial buyers and one strategic buyer",NA,Informal,NA,NA,NA,NA,exact_day,2014-04-14 00:00:00,2014-04-14 00:00:00,NA,NA,LITERAL-PROPOSAL,obs_evt_011,span_0014,high,NA,Literal proposal observation compiled directly into analyst row.
row_0006,literal,proposal,bidder_party_x,Party X,1,Party X,NA,Informal,NA,NA,NA,NA,exact_day,2014-05-09 00:00:00,2014-05-09 00:00:00,NA,NA,LITERAL-PROPOSAL,obs_evt_014,span_0015|span_0017,high,NA,Literal proposal observation compiled directly into analyst row.
row_0017,literal,drop,bidder_party_x,Party X,1,Party X,NA,NA,NA,NA,NA,NA,exact_day,2014-05-14 00:00:00,2014-05-14 00:00:00,NA,NA,EXIT-01,obs_evt_015,span_0018,high,NA,Literal status observation recorded bidder withdrawal or non-participation.
row_0007,literal,proposal,bidder_party_y,Party Y,1,Party Y,NA,Informal,NA,NA,NA,NA,exact_day,2014-05-20 00:00:00,2014-05-20 00:00:00,NA,NA,LITERAL-PROPOSAL,obs_evt_016,span_0015|span_0019,high,NA,Literal proposal observation compiled directly into analyst row.
row_0019,derived,drop,bidder_party_y,Party Y,1,Party Y,NA,NA,NA,NA,NA,NA,exact_day,2014-05-22 00:00:00,2014-05-22 00:00:00,NA,NA,EXIT-04,obs_evt_017,span_0020,high,reason:lost_to_winner,Execution outcome closed out remaining active bidders in favor of the winner.
row_0020,synthetic_anonymous,drop,cohort_25_signed_ca,twenty-five potential buyers executed confidentiality agreements with us,25,twenty-five potential buyers executed confidentiality agreements with us,NA,NA,NA,NA,NA,NA,exact_day,2014-05-22 00:00:00,2014-05-22 00:00:00,NA,NA,EXIT-04,obs_evt_017,span_0020,high,reason:lost_to_winner,Execution outcome closed out remaining active bidders in favor of the winner.
